208,0
x,y,dx,dy,x_c,y_c
121.00,132.00,25.00,25.00,133.50,144.50
116.00,132.00,25.00,25.00,128.50,144.50
111.00,127.00,25.00,25.00,123.50,139.50
127.00,127.00,25.00,25.00,139.50,139.50
132.00,127.00,25.00,25.00,144.50,139.50
121.00,121.00,25.00,25.00,133.50,133.50
121.00,116.00,25.00,25.00,133.50,128.50
121.00,106.00,25.00,25.00,133.50,118.50
121.00,95.00,25.00,25.00,133.50,107.50
106.00,95.00,25.00,25.00,118.50,107.50
100.00,95.00,25.00,25.00,112.50,107.50
95.00,95.00,25.00,25.00,107.50,107.50
100.00,95.00,25.00,25.00,112.50,107.50
100.00,95.00,25.00,25.00,112.50,107.50
95.00,100.00,25.00,25.00,107.50,112.50
84.00,95.00,25.00,25.00,96.50,107.50
90.00,90.00,25.00,25.00,102.50,102.50
95.00,84.00,25.00,25.00,107.50,96.50
106.00,84.00,25.00,25.00,118.50,96.50
111.00,84.00,25.00,25.00,123.50,96.50
137.00,95.00,25.00,25.00,149.50,107.50
143.00,100.00,25.00,25.00,155.50,112.50
143.00,100.00,25.00,25.00,155.50,112.50
143.00,95.00,25.00,25.00,155.50,107.50
148.00,95.00,25.00,25.00,160.50,107.50
153.00,100.00,25.00,25.00,165.50,112.50
164.00,90.00,25.00,25.00,176.50,102.50
158.00,84.00,25.00,25.00,170.50,96.50
148.00,84.00,25.00,25.00,160.50,96.50
143.00,84.00,25.00,25.00,155.50,96.50
132.00,84.00,25.00,25.00,144.50,96.50
116.00,137.00,25.00,25.00,128.50,149.50
111.00,137.00,25.00,25.00,123.50,149.50
106.00,137.00,25.00,25.00,118.50,149.50
100.00,143.00,25.00,25.00,112.50,155.50
106.00,143.00,25.00,25.00,118.50,155.50
111.00,137.00,25.00,25.00,123.50,149.50
116.00,137.00,25.00,25.00,128.50,149.50
127.00,132.00,25.00,25.00,139.50,144.50
132.00,137.00,25.00,25.00,144.50,149.50
137.00,143.00,25.00,25.00,149.50,155.50
132.00,143.00,25.00,25.00,144.50,155.50
132.00,137.00,25.00,25.00,144.50,149.50
132.00,153.00,25.00,25.00,144.50,165.50
127.00,148.00,25.00,25.00,139.50,160.50
127.00,153.00,25.00,25.00,139.50,165.50
116.00,148.00,25.00,25.00,128.50,160.50
111.00,153.00,25.00,25.00,123.50,165.50
111.00,143.00,25.00,25.00,123.50,155.50
106.00,148.00,25.00,25.00,118.50,160.50
116.00,153.00,25.00,25.00,128.50,165.50
116.00,179.00,25.00,25.00,128.50,191.50
106.00,179.00,25.00,25.00,118.50,191.50
95.00,169.00,25.00,25.00,107.50,181.50
84.00,158.00,25.00,25.00,96.50,170.50
79.00,148.00,25.00,25.00,91.50,160.50
74.00,137.00,25.00,25.00,86.50,149.50
74.00,127.00,25.00,25.00,86.50,139.50
69.00,111.00,25.00,25.00,81.50,123.50
69.00,100.00,25.00,25.00,81.50,112.50
127.00,174.00,25.00,25.00,139.50,186.50
137.00,169.00,25.00,25.00,149.50,181.50
153.00,158.00,25.00,25.00,165.50,170.50
158.00,143.00,25.00,25.00,170.50,155.50
164.00,132.00,25.00,25.00,176.50,144.50
169.00,121.00,25.00,25.00,181.50,133.50
174.00,106.00,25.00,25.00,186.50,118.50
174.00,95.00,25.00,25.00,186.50,107.50
