68,0
x,y,dx,dy,x_c,y_c
165.00,193.00,45.00,45.00,187.50,215.50
156.00,193.00,45.00,45.00,178.50,215.50
147.00,193.00,45.00,45.00,169.50,215.50
175.00,193.00,45.00,45.00,197.50,215.50
184.00,193.00,45.00,45.00,206.50,215.50
165.00,175.00,45.00,45.00,187.50,197.50
165.00,165.00,45.00,45.00,187.50,187.50
165.00,147.00,45.00,45.00,187.50,169.50
165.00,138.00,45.00,45.00,187.50,160.50
138.00,138.00,45.00,45.00,160.50,160.50
138.00,138.00,45.00,45.00,160.50,160.50
129.00,138.00,45.00,45.00,151.50,160.50
129.00,138.00,45.00,45.00,151.50,160.50
129.00,147.00,45.00,45.00,151.50,169.50
119.00,156.00,45.00,45.00,141.50,178.50
101.00,138.00,45.00,45.00,123.50,160.50
110.00,129.00,45.00,45.00,132.50,151.50
129.00,129.00,45.00,45.00,151.50,151.50
138.00,129.00,45.00,45.00,160.50,151.50
147.00,138.00,45.00,45.00,169.50,160.50
193.00,147.00,45.00,45.00,215.50,169.50
202.00,147.00,45.00,45.00,224.50,169.50
211.00,147.00,45.00,45.00,233.50,169.50
202.00,147.00,45.00,45.00,224.50,169.50
211.00,147.00,45.00,45.00,233.50,169.50
221.00,156.00,45.00,45.00,243.50,178.50
239.00,129.00,45.00,45.00,261.50,151.50
230.00,119.00,45.00,45.00,252.50,141.50
211.00,119.00,45.00,45.00,233.50,141.50
202.00,119.00,45.00,45.00,224.50,141.50
184.00,119.00,45.00,45.00,206.50,141.50
165.00,211.00,45.00,45.00,187.50,233.50
156.00,211.00,45.00,45.00,178.50,233.50
147.00,221.00,45.00,45.00,169.50,243.50
147.00,239.00,45.00,45.00,169.50,261.50
147.00,230.00,45.00,45.00,169.50,252.50
156.00,211.00,45.00,45.00,178.50,233.50
165.00,211.00,45.00,45.00,187.50,233.50
184.00,202.00,45.00,45.00,206.50,224.50
193.00,211.00,45.00,45.00,215.50,233.50
202.00,221.00,45.00,45.00,224.50,243.50
193.00,211.00,45.00,45.00,215.50,233.50
184.00,211.00,45.00,45.00,206.50,233.50
193.00,230.00,45.00,45.00,215.50,252.50
184.00,221.00,45.00,45.00,206.50,243.50
184.00,239.00,45.00,45.00,206.50,261.50
165.00,230.00,45.00,45.00,187.50,252.50
156.00,239.00,45.00,45.00,178.50,261.50
156.00,221.00,45.00,45.00,178.50,243.50
147.00,230.00,45.00,45.00,169.50,252.50
165.00,239.00,45.00,45.00,187.50,261.50
165.00,285.00,45.00,45.00,187.50,307.50
138.00,276.00,45.00,45.00,160.50,298.50
119.00,257.00,45.00,45.00,141.50,279.50
101.00,239.00,45.00,45.00,123.50,261.50
83.00,221.00,45.00,45.00,105.50,243.50
74.00,193.00,45.00,45.00,96.50,215.50
55.00,165.00,45.00,45.00,77.50,187.50
46.00,138.00,45.00,45.00,68.50,160.50
46.00,119.00,45.00,45.00,68.50,141.50
184.00,276.00,45.00,45.00,206.50,298.50
211.00,266.00,45.00,45.00,233.50,288.50
239.00,257.00,45.00,45.00,261.50,279.50
248.00,230.00,45.00,45.00,270.50,252.50
257.00,211.00,45.00,45.00,279.50,233.50
257.00,184.00,45.00,45.00,279.50,206.50
266.00,156.00,45.00,45.00,288.50,178.50
266.00,129.00,45.00,45.00,288.50,151.50
