113,0
x,y,dx,dy,x_c,y_c
223.00,251.00,69.00,69.00,257.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
195.00,251.00,69.00,69.00,229.50,285.50
251.00,251.00,69.00,69.00,285.50,285.50
265.00,251.00,69.00,69.00,299.50,285.50
223.00,223.00,69.00,69.00,257.50,257.50
223.00,195.00,69.00,69.00,257.50,229.50
223.00,167.00,69.00,69.00,257.50,201.50
223.00,153.00,69.00,69.00,257.50,187.50
181.00,153.00,69.00,69.00,215.50,187.50
181.00,153.00,69.00,69.00,215.50,187.50
167.00,153.00,69.00,69.00,201.50,187.50
167.00,153.00,69.00,69.00,201.50,187.50
167.00,153.00,69.00,69.00,201.50,187.50
153.00,153.00,69.00,69.00,187.50,187.50
111.00,125.00,69.00,69.00,145.50,159.50
125.00,111.00,69.00,69.00,159.50,145.50
139.00,98.00,69.00,69.00,173.50,132.50
167.00,111.00,69.00,69.00,201.50,145.50
195.00,125.00,69.00,69.00,229.50,159.50
265.00,167.00,69.00,69.00,299.50,201.50
279.00,167.00,69.00,69.00,313.50,201.50
293.00,167.00,69.00,69.00,327.50,201.50
279.00,153.00,69.00,69.00,313.50,187.50
293.00,153.00,69.00,69.00,327.50,187.50
306.00,167.00,69.00,69.00,340.50,201.50
334.00,139.00,69.00,69.00,368.50,173.50
320.00,125.00,69.00,69.00,354.50,159.50
293.00,125.00,69.00,69.00,327.50,159.50
279.00,125.00,69.00,69.00,313.50,159.50
251.00,125.00,69.00,69.00,285.50,159.50
223.00,265.00,69.00,69.00,257.50,299.50
195.00,265.00,69.00,69.00,229.50,299.50
167.00,279.00,69.00,69.00,201.50,313.50
153.00,293.00,69.00,69.00,187.50,327.50
167.00,293.00,69.00,69.00,201.50,327.50
195.00,279.00,69.00,69.00,229.50,313.50
223.00,279.00,69.00,69.00,257.50,313.50
251.00,265.00,69.00,69.00,285.50,299.50
265.00,279.00,69.00,69.00,299.50,313.50
279.00,279.00,69.00,69.00,313.50,313.50
265.00,279.00,69.00,69.00,299.50,313.50
265.00,279.00,69.00,69.00,299.50,313.50
265.00,293.00,69.00,69.00,299.50,327.50
251.00,279.00,69.00,69.00,285.50,313.50
251.00,306.00,69.00,69.00,285.50,340.50
209.00,293.00,69.00,69.00,243.50,327.50
181.00,306.00,69.00,69.00,215.50,340.50
181.00,279.00,69.00,69.00,215.50,313.50
167.00,293.00,69.00,69.00,201.50,327.50
209.00,306.00,69.00,69.00,243.50,340.50
223.00,390.00,69.00,69.00,257.50,424.50
181.00,376.00,69.00,69.00,215.50,410.50
153.00,362.00,69.00,69.00,187.50,396.50
125.00,334.00,69.00,69.00,159.50,368.50
98.00,320.00,69.00,69.00,132.50,354.50
84.00,293.00,69.00,69.00,118.50,327.50
70.00,265.00,69.00,69.00,104.50,299.50
56.00,209.00,69.00,69.00,90.50,243.50
56.00,167.00,69.00,69.00,90.50,201.50
265.00,376.00,69.00,69.00,299.50,410.50
293.00,348.00,69.00,69.00,327.50,382.50
320.00,320.00,69.00,69.00,354.50,354.50
334.00,279.00,69.00,69.00,368.50,313.50
348.00,251.00,69.00,69.00,382.50,285.50
362.00,223.00,69.00,69.00,396.50,257.50
376.00,181.00,69.00,69.00,410.50,215.50
376.00,139.00,69.00,69.00,410.50,173.50
