106,0
x,y,dx,dy,x_c,y_c
181.00,223.00,69.00,69.00,215.50,257.50
181.00,223.00,69.00,69.00,215.50,257.50
167.00,223.00,69.00,69.00,201.50,257.50
195.00,223.00,69.00,69.00,229.50,257.50
209.00,223.00,69.00,69.00,243.50,257.50
181.00,195.00,69.00,69.00,215.50,229.50
181.00,181.00,69.00,69.00,215.50,215.50
181.00,153.00,69.00,69.00,215.50,187.50
181.00,139.00,69.00,69.00,215.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
125.00,139.00,69.00,69.00,159.50,173.50
111.00,139.00,69.00,69.00,145.50,173.50
125.00,139.00,69.00,69.00,159.50,173.50
111.00,139.00,69.00,69.00,145.50,173.50
98.00,139.00,69.00,69.00,132.50,173.50
70.00,111.00,69.00,69.00,104.50,145.50
84.00,98.00,69.00,69.00,118.50,132.50
98.00,98.00,69.00,69.00,132.50,132.50
111.00,111.00,69.00,69.00,145.50,145.50
139.00,125.00,69.00,69.00,173.50,159.50
223.00,139.00,69.00,69.00,257.50,173.50
237.00,153.00,69.00,69.00,271.50,187.50
251.00,153.00,69.00,69.00,285.50,187.50
237.00,139.00,69.00,69.00,271.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
265.00,153.00,69.00,69.00,299.50,187.50
293.00,125.00,69.00,69.00,327.50,159.50
293.00,111.00,69.00,69.00,327.50,145.50
265.00,111.00,69.00,69.00,299.50,145.50
251.00,111.00,69.00,69.00,285.50,145.50
223.00,111.00,69.00,69.00,257.50,145.50
181.00,237.00,69.00,69.00,215.50,271.50
167.00,223.00,69.00,69.00,201.50,257.50
153.00,223.00,69.00,69.00,187.50,257.50
139.00,237.00,69.00,69.00,173.50,271.50
139.00,237.00,69.00,69.00,173.50,271.50
153.00,237.00,69.00,69.00,187.50,271.50
181.00,251.00,69.00,69.00,215.50,285.50
209.00,237.00,69.00,69.00,243.50,271.50
223.00,251.00,69.00,69.00,257.50,285.50
237.00,251.00,69.00,69.00,271.50,285.50
223.00,251.00,69.00,69.00,257.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
237.00,265.00,69.00,69.00,271.50,299.50
223.00,251.00,69.00,69.00,257.50,285.50
223.00,279.00,69.00,69.00,257.50,313.50
195.00,265.00,69.00,69.00,229.50,299.50
167.00,279.00,69.00,69.00,201.50,313.50
167.00,251.00,69.00,69.00,201.50,285.50
153.00,251.00,69.00,69.00,187.50,285.50
195.00,279.00,69.00,69.00,229.50,313.50
195.00,334.00,69.00,69.00,229.50,368.50
167.00,320.00,69.00,69.00,201.50,354.50
139.00,293.00,69.00,69.00,173.50,327.50
111.00,265.00,69.00,69.00,145.50,299.50
84.00,237.00,69.00,69.00,118.50,271.50
70.00,209.00,69.00,69.00,104.50,243.50
70.00,181.00,69.00,69.00,104.50,215.50
70.00,139.00,69.00,69.00,104.50,173.50
70.00,111.00,69.00,69.00,104.50,145.50
223.00,320.00,69.00,69.00,257.50,354.50
265.00,306.00,69.00,69.00,299.50,340.50
306.00,279.00,69.00,69.00,340.50,313.50
320.00,251.00,69.00,69.00,354.50,285.50
334.00,237.00,69.00,69.00,368.50,271.50
348.00,209.00,69.00,69.00,382.50,243.50
348.00,167.00,69.00,69.00,382.50,201.50
348.00,139.00,69.00,69.00,382.50,173.50
