98,15
x,y,dx,dy,x_c,y_c
190.00,232.00,52.00,52.00,216.00,258.00
190.00,232.00,52.00,52.00,216.00,258.00
179.00,232.00,52.00,52.00,205.00,258.00
190.00,232.00,52.00,52.00,216.00,258.00
201.00,232.00,52.00,52.00,227.00,258.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,190.00,52.00,52.00,205.00,216.00
179.00,179.00,52.00,52.00,205.00,205.00
179.00,158.00,52.00,52.00,205.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
148.00,158.00,52.00,52.00,174.00,184.00
158.00,148.00,52.00,52.00,184.00,174.00
148.00,148.00,52.00,52.00,174.00,174.00
137.00,158.00,52.00,52.00,163.00,184.00
116.00,127.00,52.00,52.00,142.00,153.00
127.00,116.00,52.00,52.00,153.00,142.00
137.00,127.00,52.00,52.00,163.00,153.00
148.00,127.00,52.00,52.00,174.00,153.00
158.00,127.00,52.00,52.00,184.00,153.00
222.00,158.00,52.00,52.00,248.00,184.00
232.00,158.00,52.00,52.00,258.00,184.00
243.00,158.00,52.00,52.00,269.00,184.00
232.00,148.00,52.00,52.00,258.00,174.00
232.00,148.00,52.00,52.00,258.00,174.00
243.00,158.00,52.00,52.00,269.00,184.00
264.00,137.00,52.00,52.00,290.00,163.00
253.00,127.00,52.00,52.00,279.00,153.00
232.00,127.00,52.00,52.00,258.00,153.00
222.00,127.00,52.00,52.00,248.00,153.00
201.00,127.00,52.00,52.00,227.00,153.00
179.00,253.00,52.00,52.00,205.00,279.00
169.00,253.00,52.00,52.00,195.00,279.00
169.00,253.00,52.00,52.00,195.00,279.00
158.00,264.00,52.00,52.00,184.00,290.00
169.00,264.00,52.00,52.00,195.00,290.00
169.00,264.00,52.00,52.00,195.00,290.00
179.00,264.00,52.00,52.00,205.00,290.00
201.00,253.00,52.00,52.00,227.00,279.00
211.00,253.00,52.00,52.00,237.00,279.00
222.00,264.00,52.00,52.00,248.00,290.00
211.00,264.00,52.00,52.00,237.00,290.00
190.00,264.00,52.00,52.00,216.00,290.00
211.00,274.00,52.00,52.00,237.00,300.00
190.00,264.00,52.00,52.00,216.00,290.00
190.00,274.00,52.00,52.00,216.00,300.00
179.00,264.00,52.00,52.00,205.00,290.00
169.00,274.00,52.00,52.00,195.00,300.00
169.00,253.00,52.00,52.00,195.00,279.00
158.00,274.00,52.00,52.00,184.00,300.00
179.00,274.00,52.00,52.00,205.00,300.00
179.00,327.00,52.00,52.00,205.00,353.00
169.00,306.00,52.00,52.00,195.00,332.00
158.00,296.00,52.00,52.00,184.00,322.00
148.00,274.00,52.00,52.00,174.00,300.00
137.00,264.00,52.00,52.00,163.00,290.00
127.00,243.00,52.00,52.00,153.00,269.00
116.00,222.00,52.00,52.00,142.00,248.00
116.00,201.00,52.00,52.00,142.00,227.00
116.00,179.00,52.00,52.00,142.00,205.00
222.00,317.00,52.00,52.00,248.00,343.00
243.00,306.00,52.00,52.00,269.00,332.00
274.00,296.00,52.00,52.00,300.00,322.00
285.00,274.00,52.00,52.00,311.00,300.00
306.00,253.00,52.00,52.00,332.00,279.00
317.00,232.00,52.00,52.00,343.00,258.00
327.00,201.00,52.00,52.00,353.00,227.00
327.00,179.00,52.00,52.00,353.00,205.00
