143,0
x,y,dx,dy,x_c,y_c
112.00,136.00,39.00,39.00,131.50,155.50
104.00,136.00,39.00,39.00,123.50,155.50
96.00,136.00,39.00,39.00,115.50,155.50
120.00,136.00,39.00,39.00,139.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
112.00,120.00,39.00,39.00,131.50,139.50
112.00,112.00,39.00,39.00,131.50,131.50
112.00,96.00,39.00,39.00,131.50,115.50
112.00,88.00,39.00,39.00,131.50,107.50
96.00,88.00,39.00,39.00,115.50,107.50
88.00,88.00,39.00,39.00,107.50,107.50
80.00,88.00,39.00,39.00,99.50,107.50
88.00,88.00,39.00,39.00,107.50,107.50
88.00,88.00,39.00,39.00,107.50,107.50
80.00,88.00,39.00,39.00,99.50,107.50
64.00,80.00,39.00,39.00,83.50,99.50
72.00,72.00,39.00,39.00,91.50,91.50
80.00,72.00,39.00,39.00,99.50,91.50
88.00,72.00,39.00,39.00,107.50,91.50
96.00,80.00,39.00,39.00,115.50,99.50
136.00,88.00,39.00,39.00,155.50,107.50
144.00,88.00,39.00,39.00,163.50,107.50
144.00,88.00,39.00,39.00,163.50,107.50
144.00,88.00,39.00,39.00,163.50,107.50
144.00,88.00,39.00,39.00,163.50,107.50
152.00,96.00,39.00,39.00,171.50,115.50
168.00,80.00,39.00,39.00,187.50,99.50
160.00,72.00,39.00,39.00,179.50,91.50
144.00,72.00,39.00,39.00,163.50,91.50
136.00,72.00,39.00,39.00,155.50,91.50
128.00,72.00,39.00,39.00,147.50,91.50
112.00,144.00,39.00,39.00,131.50,163.50
104.00,144.00,39.00,39.00,123.50,163.50
96.00,144.00,39.00,39.00,115.50,163.50
88.00,152.00,39.00,39.00,107.50,171.50
88.00,152.00,39.00,39.00,107.50,171.50
104.00,144.00,39.00,39.00,123.50,163.50
112.00,152.00,39.00,39.00,131.50,171.50
128.00,144.00,39.00,39.00,147.50,163.50
136.00,152.00,39.00,39.00,155.50,171.50
144.00,152.00,39.00,39.00,163.50,171.50
136.00,152.00,39.00,39.00,155.50,171.50
128.00,152.00,39.00,39.00,147.50,171.50
136.00,160.00,39.00,39.00,155.50,179.50
128.00,152.00,39.00,39.00,147.50,171.50
128.00,160.00,39.00,39.00,147.50,179.50
112.00,152.00,39.00,39.00,131.50,171.50
104.00,160.00,39.00,39.00,123.50,179.50
104.00,152.00,39.00,39.00,123.50,171.50
96.00,160.00,39.00,39.00,115.50,179.50
112.00,160.00,39.00,39.00,131.50,179.50
112.00,200.00,39.00,39.00,131.50,219.50
96.00,192.00,39.00,39.00,115.50,211.50
80.00,176.00,39.00,39.00,99.50,195.50
64.00,160.00,39.00,39.00,83.50,179.50
56.00,144.00,39.00,39.00,75.50,163.50
48.00,128.00,39.00,39.00,67.50,147.50
40.00,112.00,39.00,39.00,59.50,131.50
32.00,88.00,39.00,39.00,51.50,107.50
32.00,64.00,39.00,39.00,51.50,83.50
128.00,192.00,39.00,39.00,147.50,211.50
144.00,184.00,39.00,39.00,163.50,203.50
160.00,176.00,39.00,39.00,179.50,195.50
176.00,160.00,39.00,39.00,195.50,179.50
184.00,144.00,39.00,39.00,203.50,163.50
192.00,128.00,39.00,39.00,211.50,147.50
200.00,104.00,39.00,39.00,219.50,123.50
200.00,88.00,39.00,39.00,219.50,107.50
