63,0
x,y,dx,dy,x_c,y_c
115.00,139.00,29.00,29.00,129.50,153.50
115.00,139.00,29.00,29.00,129.50,153.50
115.00,139.00,29.00,29.00,129.50,153.50
121.00,133.00,29.00,29.00,135.50,147.50
127.00,133.00,29.00,29.00,141.50,147.50
115.00,121.00,29.00,29.00,129.50,135.50
115.00,109.00,29.00,29.00,129.50,123.50
109.00,97.00,29.00,29.00,123.50,111.50
109.00,91.00,29.00,29.00,123.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
85.00,91.00,29.00,29.00,99.50,105.50
85.00,91.00,29.00,29.00,99.50,105.50
79.00,91.00,29.00,29.00,93.50,105.50
67.00,85.00,29.00,29.00,81.50,99.50
73.00,79.00,29.00,29.00,87.50,93.50
79.00,73.00,29.00,29.00,93.50,87.50
91.00,79.00,29.00,29.00,105.50,93.50
97.00,85.00,29.00,29.00,111.50,99.50
121.00,91.00,29.00,29.00,135.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
133.00,91.00,29.00,29.00,147.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
133.00,91.00,29.00,29.00,147.50,105.50
139.00,91.00,29.00,29.00,153.50,105.50
158.00,79.00,29.00,29.00,172.50,93.50
152.00,79.00,29.00,29.00,166.50,93.50
139.00,79.00,29.00,29.00,153.50,93.50
127.00,79.00,29.00,29.00,141.50,93.50
115.00,79.00,29.00,29.00,129.50,93.50
115.00,146.00,29.00,29.00,129.50,160.50
109.00,146.00,29.00,29.00,123.50,160.50
103.00,152.00,29.00,29.00,117.50,166.50
103.00,164.00,29.00,29.00,117.50,178.50
97.00,158.00,29.00,29.00,111.50,172.50
109.00,152.00,29.00,29.00,123.50,166.50
115.00,152.00,29.00,29.00,129.50,166.50
127.00,139.00,29.00,29.00,141.50,153.50
133.00,146.00,29.00,29.00,147.50,160.50
139.00,152.00,29.00,29.00,153.50,166.50
133.00,152.00,29.00,29.00,147.50,166.50
127.00,152.00,29.00,29.00,141.50,166.50
139.00,158.00,29.00,29.00,153.50,172.50
133.00,152.00,29.00,29.00,147.50,166.50
133.00,158.00,29.00,29.00,147.50,172.50
121.00,152.00,29.00,29.00,135.50,166.50
121.00,158.00,29.00,29.00,135.50,172.50
127.00,146.00,29.00,29.00,141.50,160.50
121.00,146.00,29.00,29.00,135.50,160.50
121.00,158.00,29.00,29.00,135.50,172.50
127.00,176.00,29.00,29.00,141.50,190.50
109.00,170.00,29.00,29.00,123.50,184.50
97.00,158.00,29.00,29.00,111.50,172.50
85.00,146.00,29.00,29.00,99.50,160.50
73.00,133.00,29.00,29.00,87.50,147.50
67.00,121.00,29.00,29.00,81.50,135.50
61.00,109.00,29.00,29.00,75.50,123.50
55.00,91.00,29.00,29.00,69.50,105.50
55.00,73.00,29.00,29.00,69.50,87.50
139.00,176.00,29.00,29.00,153.50,190.50
152.00,170.00,29.00,29.00,166.50,184.50
164.00,164.00,29.00,29.00,178.50,178.50
176.00,146.00,29.00,29.00,190.50,160.50
182.00,133.00,29.00,29.00,196.50,147.50
188.00,115.00,29.00,29.00,202.50,129.50
188.00,97.00,29.00,29.00,202.50,111.50
188.00,85.00,29.00,29.00,202.50,99.50
