118,0
x,y,dx,dy,x_c,y_c
128.00,144.00,39.00,39.00,147.50,163.50
120.00,144.00,39.00,39.00,139.50,163.50
112.00,144.00,39.00,39.00,131.50,163.50
136.00,144.00,39.00,39.00,155.50,163.50
144.00,144.00,39.00,39.00,163.50,163.50
128.00,128.00,39.00,39.00,147.50,147.50
128.00,120.00,39.00,39.00,147.50,139.50
128.00,104.00,39.00,39.00,147.50,123.50
128.00,96.00,39.00,39.00,147.50,115.50
104.00,96.00,39.00,39.00,123.50,115.50
104.00,96.00,39.00,39.00,123.50,115.50
96.00,96.00,39.00,39.00,115.50,115.50
96.00,96.00,39.00,39.00,115.50,115.50
88.00,96.00,39.00,39.00,107.50,115.50
80.00,96.00,39.00,39.00,99.50,115.50
56.00,88.00,39.00,39.00,75.50,107.50
64.00,80.00,39.00,39.00,83.50,99.50
72.00,72.00,39.00,39.00,91.50,91.50
88.00,72.00,39.00,39.00,107.50,91.50
104.00,72.00,39.00,39.00,123.50,91.50
144.00,96.00,39.00,39.00,163.50,115.50
152.00,96.00,39.00,39.00,171.50,115.50
160.00,96.00,39.00,39.00,179.50,115.50
152.00,96.00,39.00,39.00,171.50,115.50
160.00,96.00,39.00,39.00,179.50,115.50
168.00,96.00,39.00,39.00,187.50,115.50
192.00,80.00,39.00,39.00,211.50,99.50
192.00,80.00,39.00,39.00,211.50,99.50
176.00,80.00,39.00,39.00,195.50,99.50
160.00,80.00,39.00,39.00,179.50,99.50
144.00,80.00,39.00,39.00,163.50,99.50
128.00,152.00,39.00,39.00,147.50,171.50
120.00,152.00,39.00,39.00,139.50,171.50
112.00,160.00,39.00,39.00,131.50,179.50
104.00,168.00,39.00,39.00,123.50,187.50
112.00,168.00,39.00,39.00,131.50,187.50
120.00,160.00,39.00,39.00,139.50,179.50
128.00,160.00,39.00,39.00,147.50,179.50
144.00,152.00,39.00,39.00,163.50,171.50
152.00,160.00,39.00,39.00,171.50,179.50
160.00,168.00,39.00,39.00,179.50,187.50
152.00,160.00,39.00,39.00,171.50,179.50
144.00,160.00,39.00,39.00,163.50,179.50
160.00,176.00,39.00,39.00,179.50,195.50
152.00,168.00,39.00,39.00,171.50,187.50
152.00,176.00,39.00,39.00,171.50,195.50
136.00,176.00,39.00,39.00,155.50,195.50
128.00,184.00,39.00,39.00,147.50,203.50
128.00,168.00,39.00,39.00,147.50,187.50
120.00,168.00,39.00,39.00,139.50,187.50
136.00,184.00,39.00,39.00,155.50,203.50
136.00,224.00,39.00,39.00,155.50,243.50
112.00,216.00,39.00,39.00,131.50,235.50
96.00,208.00,39.00,39.00,115.50,227.50
80.00,192.00,39.00,39.00,99.50,211.50
64.00,176.00,39.00,39.00,83.50,195.50
56.00,160.00,39.00,39.00,75.50,179.50
48.00,144.00,39.00,39.00,67.50,163.50
40.00,120.00,39.00,39.00,59.50,139.50
40.00,104.00,39.00,39.00,59.50,123.50
152.00,216.00,39.00,39.00,171.50,235.50
168.00,208.00,39.00,39.00,187.50,227.50
184.00,200.00,39.00,39.00,203.50,219.50
192.00,184.00,39.00,39.00,211.50,203.50
192.00,168.00,39.00,39.00,211.50,187.50
200.00,152.00,39.00,39.00,219.50,171.50
208.00,128.00,39.00,39.00,227.50,147.50
208.00,112.00,39.00,39.00,227.50,131.50
