69,0
x,y,dx,dy,x_c,y_c
144.00,176.00,39.00,39.00,163.50,195.50
136.00,176.00,39.00,39.00,155.50,195.50
128.00,168.00,39.00,39.00,147.50,187.50
152.00,176.00,39.00,39.00,171.50,195.50
160.00,176.00,39.00,39.00,179.50,195.50
144.00,152.00,39.00,39.00,163.50,171.50
144.00,136.00,39.00,39.00,163.50,155.50
144.00,120.00,39.00,39.00,163.50,139.50
144.00,112.00,39.00,39.00,163.50,131.50
120.00,112.00,39.00,39.00,139.50,131.50
120.00,112.00,39.00,39.00,139.50,131.50
112.00,112.00,39.00,39.00,131.50,131.50
112.00,112.00,39.00,39.00,131.50,131.50
112.00,112.00,39.00,39.00,131.50,131.50
104.00,112.00,39.00,39.00,123.50,131.50
80.00,96.00,39.00,39.00,99.50,115.50
88.00,88.00,39.00,39.00,107.50,107.50
96.00,88.00,39.00,39.00,115.50,107.50
112.00,96.00,39.00,39.00,131.50,115.50
128.00,96.00,39.00,39.00,147.50,115.50
168.00,120.00,39.00,39.00,187.50,139.50
176.00,120.00,39.00,39.00,195.50,139.50
184.00,120.00,39.00,39.00,203.50,139.50
176.00,112.00,39.00,39.00,195.50,131.50
176.00,112.00,39.00,39.00,195.50,131.50
184.00,120.00,39.00,39.00,203.50,139.50
200.00,104.00,39.00,39.00,219.50,123.50
192.00,96.00,39.00,39.00,211.50,115.50
184.00,96.00,39.00,39.00,203.50,115.50
176.00,96.00,39.00,39.00,195.50,115.50
160.00,96.00,39.00,39.00,179.50,115.50
144.00,184.00,39.00,39.00,163.50,203.50
128.00,176.00,39.00,39.00,147.50,195.50
120.00,176.00,39.00,39.00,139.50,195.50
112.00,192.00,39.00,39.00,131.50,211.50
112.00,184.00,39.00,39.00,131.50,203.50
120.00,184.00,39.00,39.00,139.50,203.50
144.00,192.00,39.00,39.00,163.50,211.50
160.00,184.00,39.00,39.00,179.50,203.50
168.00,184.00,39.00,39.00,187.50,203.50
176.00,192.00,39.00,39.00,195.50,211.50
168.00,192.00,39.00,39.00,187.50,211.50
160.00,192.00,39.00,39.00,179.50,211.50
168.00,200.00,39.00,39.00,187.50,219.50
160.00,192.00,39.00,39.00,179.50,211.50
160.00,200.00,39.00,39.00,179.50,219.50
144.00,192.00,39.00,39.00,163.50,211.50
120.00,192.00,39.00,39.00,139.50,211.50
120.00,184.00,39.00,39.00,139.50,203.50
112.00,184.00,39.00,39.00,131.50,203.50
144.00,200.00,39.00,39.00,163.50,219.50
152.00,240.00,39.00,39.00,171.50,259.50
128.00,232.00,39.00,39.00,147.50,251.50
112.00,216.00,39.00,39.00,131.50,235.50
96.00,200.00,39.00,39.00,115.50,219.50
80.00,184.00,39.00,39.00,99.50,203.50
72.00,160.00,39.00,39.00,91.50,179.50
64.00,144.00,39.00,39.00,83.50,163.50
64.00,120.00,39.00,39.00,83.50,139.50
64.00,96.00,39.00,39.00,83.50,115.50
168.00,232.00,39.00,39.00,187.50,251.50
184.00,216.00,39.00,39.00,203.50,235.50
192.00,200.00,39.00,39.00,211.50,219.50
200.00,176.00,39.00,39.00,219.50,195.50
200.00,152.00,39.00,39.00,219.50,171.50
208.00,128.00,39.00,39.00,227.50,147.50
208.00,104.00,39.00,39.00,227.50,123.50
208.00,80.00,39.00,39.00,227.50,99.50
