107,0
x,y,dx,dy,x_c,y_c
195.00,237.00,69.00,69.00,229.50,271.50
181.00,237.00,69.00,69.00,215.50,271.50
167.00,237.00,69.00,69.00,201.50,271.50
209.00,223.00,69.00,69.00,243.50,257.50
223.00,223.00,69.00,69.00,257.50,257.50
195.00,209.00,69.00,69.00,229.50,243.50
195.00,181.00,69.00,69.00,229.50,215.50
195.00,153.00,69.00,69.00,229.50,187.50
195.00,139.00,69.00,69.00,229.50,173.50
167.00,153.00,69.00,69.00,201.50,187.50
153.00,153.00,69.00,69.00,187.50,187.50
153.00,153.00,69.00,69.00,187.50,187.50
153.00,139.00,69.00,69.00,187.50,173.50
153.00,139.00,69.00,69.00,187.50,173.50
139.00,153.00,69.00,69.00,173.50,187.50
111.00,125.00,69.00,69.00,145.50,159.50
125.00,111.00,69.00,69.00,159.50,145.50
139.00,98.00,69.00,69.00,173.50,132.50
167.00,98.00,69.00,69.00,201.50,132.50
195.00,98.00,69.00,69.00,229.50,132.50
237.00,139.00,69.00,69.00,271.50,173.50
251.00,153.00,69.00,69.00,285.50,187.50
251.00,153.00,69.00,69.00,285.50,187.50
237.00,139.00,69.00,69.00,271.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
265.00,139.00,69.00,69.00,299.50,173.50
293.00,111.00,69.00,69.00,327.50,145.50
279.00,111.00,69.00,69.00,313.50,145.50
251.00,111.00,69.00,69.00,285.50,145.50
237.00,111.00,69.00,69.00,271.50,145.50
209.00,111.00,69.00,69.00,243.50,145.50
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
153.00,265.00,69.00,69.00,187.50,299.50
139.00,279.00,69.00,69.00,173.50,313.50
139.00,279.00,69.00,69.00,173.50,313.50
181.00,265.00,69.00,69.00,215.50,299.50
195.00,265.00,69.00,69.00,229.50,299.50
223.00,237.00,69.00,69.00,257.50,271.50
237.00,251.00,69.00,69.00,271.50,285.50
251.00,265.00,69.00,69.00,285.50,299.50
237.00,265.00,69.00,69.00,271.50,299.50
223.00,251.00,69.00,69.00,257.50,285.50
237.00,279.00,69.00,69.00,271.50,313.50
223.00,265.00,69.00,69.00,257.50,299.50
223.00,293.00,69.00,69.00,257.50,327.50
195.00,279.00,69.00,69.00,229.50,313.50
181.00,293.00,69.00,69.00,215.50,327.50
167.00,265.00,69.00,69.00,201.50,299.50
153.00,279.00,69.00,69.00,187.50,313.50
195.00,293.00,69.00,69.00,229.50,327.50
209.00,362.00,69.00,69.00,243.50,396.50
181.00,348.00,69.00,69.00,215.50,382.50
153.00,334.00,69.00,69.00,187.50,368.50
125.00,306.00,69.00,69.00,159.50,340.50
98.00,279.00,69.00,69.00,132.50,313.50
84.00,237.00,69.00,69.00,118.50,271.50
70.00,209.00,69.00,69.00,104.50,243.50
70.00,167.00,69.00,69.00,104.50,201.50
70.00,139.00,69.00,69.00,104.50,173.50
237.00,348.00,69.00,69.00,271.50,382.50
265.00,320.00,69.00,69.00,299.50,354.50
306.00,306.00,69.00,69.00,340.50,340.50
320.00,279.00,69.00,69.00,354.50,313.50
334.00,251.00,69.00,69.00,368.50,285.50
348.00,223.00,69.00,69.00,382.50,257.50
362.00,181.00,69.00,69.00,396.50,215.50
362.00,139.00,69.00,69.00,396.50,173.50
