139,0
x,y,dx,dy,x_c,y_c
129.00,147.00,45.00,45.00,151.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
119.00,147.00,45.00,45.00,141.50,169.50
138.00,147.00,45.00,45.00,160.50,169.50
147.00,147.00,45.00,45.00,169.50,169.50
129.00,129.00,45.00,45.00,151.50,151.50
129.00,119.00,45.00,45.00,151.50,141.50
129.00,101.00,45.00,45.00,151.50,123.50
129.00,92.00,45.00,45.00,151.50,114.50
101.00,92.00,45.00,45.00,123.50,114.50
92.00,92.00,45.00,45.00,114.50,114.50
83.00,92.00,45.00,45.00,105.50,114.50
92.00,92.00,45.00,45.00,114.50,114.50
92.00,92.00,45.00,45.00,114.50,114.50
83.00,92.00,45.00,45.00,105.50,114.50
64.00,83.00,45.00,45.00,86.50,105.50
74.00,74.00,45.00,45.00,96.50,96.50
83.00,64.00,45.00,45.00,105.50,86.50
101.00,74.00,45.00,45.00,123.50,96.50
110.00,74.00,45.00,45.00,132.50,96.50
156.00,101.00,45.00,45.00,178.50,123.50
165.00,101.00,45.00,45.00,187.50,123.50
175.00,101.00,45.00,45.00,197.50,123.50
165.00,92.00,45.00,45.00,187.50,114.50
165.00,92.00,45.00,45.00,187.50,114.50
175.00,101.00,45.00,45.00,197.50,123.50
193.00,83.00,45.00,45.00,215.50,105.50
184.00,83.00,45.00,45.00,206.50,105.50
175.00,74.00,45.00,45.00,197.50,96.50
165.00,74.00,45.00,45.00,187.50,96.50
147.00,74.00,45.00,45.00,169.50,96.50
129.00,156.00,45.00,45.00,151.50,178.50
110.00,156.00,45.00,45.00,132.50,178.50
101.00,156.00,45.00,45.00,123.50,178.50
92.00,165.00,45.00,45.00,114.50,187.50
101.00,165.00,45.00,45.00,123.50,187.50
110.00,156.00,45.00,45.00,132.50,178.50
129.00,165.00,45.00,45.00,151.50,187.50
147.00,156.00,45.00,45.00,169.50,178.50
156.00,165.00,45.00,45.00,178.50,187.50
165.00,165.00,45.00,45.00,187.50,187.50
156.00,165.00,45.00,45.00,178.50,187.50
156.00,165.00,45.00,45.00,178.50,187.50
156.00,184.00,45.00,45.00,178.50,206.50
147.00,175.00,45.00,45.00,169.50,197.50
147.00,184.00,45.00,45.00,169.50,206.50
129.00,175.00,45.00,45.00,151.50,197.50
110.00,184.00,45.00,45.00,132.50,206.50
110.00,165.00,45.00,45.00,132.50,187.50
101.00,175.00,45.00,45.00,123.50,197.50
129.00,184.00,45.00,45.00,151.50,206.50
138.00,230.00,45.00,45.00,160.50,252.50
110.00,221.00,45.00,45.00,132.50,243.50
92.00,211.00,45.00,45.00,114.50,233.50
74.00,193.00,45.00,45.00,96.50,215.50
55.00,175.00,45.00,45.00,77.50,197.50
46.00,156.00,45.00,45.00,68.50,178.50
46.00,138.00,45.00,45.00,68.50,160.50
37.00,110.00,45.00,45.00,59.50,132.50
37.00,92.00,45.00,45.00,59.50,114.50
156.00,221.00,45.00,45.00,178.50,243.50
175.00,202.00,45.00,45.00,197.50,224.50
184.00,184.00,45.00,45.00,206.50,206.50
193.00,156.00,45.00,45.00,215.50,178.50
202.00,138.00,45.00,45.00,224.50,160.50
211.00,119.00,45.00,45.00,233.50,141.50
221.00,92.00,45.00,45.00,243.50,114.50
221.00,74.00,45.00,45.00,243.50,96.50
