55,0
x,y,dx,dy,x_c,y_c
221.00,221.00,45.00,45.00,243.50,243.50
211.00,221.00,45.00,45.00,233.50,243.50
202.00,211.00,45.00,45.00,224.50,233.50
230.00,221.00,45.00,45.00,252.50,243.50
239.00,221.00,45.00,45.00,261.50,243.50
221.00,202.00,45.00,45.00,243.50,224.50
221.00,193.00,45.00,45.00,243.50,215.50
221.00,175.00,45.00,45.00,243.50,197.50
221.00,165.00,45.00,45.00,243.50,187.50
193.00,175.00,45.00,45.00,215.50,197.50
184.00,175.00,45.00,45.00,206.50,197.50
184.00,184.00,45.00,45.00,206.50,206.50
184.00,175.00,45.00,45.00,206.50,197.50
184.00,175.00,45.00,45.00,206.50,197.50
175.00,175.00,45.00,45.00,197.50,197.50
147.00,156.00,45.00,45.00,169.50,178.50
156.00,138.00,45.00,45.00,178.50,160.50
165.00,129.00,45.00,45.00,187.50,151.50
175.00,138.00,45.00,45.00,197.50,160.50
184.00,138.00,45.00,45.00,206.50,160.50
239.00,175.00,45.00,45.00,261.50,197.50
248.00,175.00,45.00,45.00,270.50,197.50
257.00,175.00,45.00,45.00,279.50,197.50
248.00,175.00,45.00,45.00,270.50,197.50
257.00,175.00,45.00,45.00,279.50,197.50
266.00,175.00,45.00,45.00,288.50,197.50
285.00,156.00,45.00,45.00,307.50,178.50
276.00,147.00,45.00,45.00,298.50,169.50
257.00,147.00,45.00,45.00,279.50,169.50
248.00,147.00,45.00,45.00,270.50,169.50
230.00,147.00,45.00,45.00,252.50,169.50
221.00,230.00,45.00,45.00,243.50,252.50
211.00,221.00,45.00,45.00,233.50,243.50
202.00,230.00,45.00,45.00,224.50,252.50
193.00,248.00,45.00,45.00,215.50,270.50
202.00,239.00,45.00,45.00,224.50,261.50
211.00,230.00,45.00,45.00,233.50,252.50
221.00,239.00,45.00,45.00,243.50,261.50
239.00,230.00,45.00,45.00,261.50,252.50
248.00,230.00,45.00,45.00,270.50,252.50
257.00,239.00,45.00,45.00,279.50,261.50
248.00,239.00,45.00,45.00,270.50,261.50
239.00,239.00,45.00,45.00,261.50,261.50
248.00,248.00,45.00,45.00,270.50,270.50
239.00,239.00,45.00,45.00,261.50,261.50
239.00,248.00,45.00,45.00,261.50,270.50
221.00,239.00,45.00,45.00,243.50,261.50
202.00,248.00,45.00,45.00,224.50,270.50
202.00,239.00,45.00,45.00,224.50,261.50
193.00,239.00,45.00,45.00,215.50,261.50
221.00,248.00,45.00,45.00,243.50,270.50
221.00,294.00,45.00,45.00,243.50,316.50
193.00,285.00,45.00,45.00,215.50,307.50
175.00,276.00,45.00,45.00,197.50,298.50
156.00,257.00,45.00,45.00,178.50,279.50
138.00,239.00,45.00,45.00,160.50,261.50
129.00,211.00,45.00,45.00,151.50,233.50
129.00,193.00,45.00,45.00,151.50,215.50
119.00,165.00,45.00,45.00,141.50,187.50
119.00,138.00,45.00,45.00,141.50,160.50
239.00,285.00,45.00,45.00,261.50,307.50
257.00,266.00,45.00,45.00,279.50,288.50
276.00,248.00,45.00,45.00,298.50,270.50
285.00,221.00,45.00,45.00,307.50,243.50
294.00,193.00,45.00,45.00,316.50,215.50
303.00,156.00,45.00,45.00,325.50,178.50
303.00,129.00,45.00,45.00,325.50,151.50
303.00,101.00,45.00,45.00,325.50,123.50
