138,-15
x,y,dx,dy,x_c,y_c
136.00,152.00,39.00,39.00,155.50,171.50
128.00,152.00,39.00,39.00,147.50,171.50
120.00,152.00,39.00,39.00,139.50,171.50
136.00,152.00,39.00,39.00,155.50,171.50
144.00,152.00,39.00,39.00,163.50,171.50
136.00,136.00,39.00,39.00,155.50,155.50
136.00,120.00,39.00,39.00,155.50,139.50
136.00,104.00,39.00,39.00,155.50,123.50
136.00,96.00,39.00,39.00,155.50,115.50
112.00,96.00,39.00,39.00,131.50,115.50
104.00,96.00,39.00,39.00,123.50,115.50
96.00,96.00,39.00,39.00,115.50,115.50
104.00,88.00,39.00,39.00,123.50,107.50
96.00,88.00,39.00,39.00,115.50,107.50
88.00,96.00,39.00,39.00,107.50,115.50
56.00,80.00,39.00,39.00,75.50,99.50
72.00,72.00,39.00,39.00,91.50,91.50
88.00,64.00,39.00,39.00,107.50,83.50
104.00,72.00,39.00,39.00,123.50,91.50
120.00,80.00,39.00,39.00,139.50,99.50
152.00,104.00,39.00,39.00,171.50,123.50
160.00,104.00,39.00,39.00,179.50,123.50
160.00,104.00,39.00,39.00,179.50,123.50
160.00,104.00,39.00,39.00,179.50,123.50
160.00,104.00,39.00,39.00,179.50,123.50
168.00,104.00,39.00,39.00,187.50,123.50
184.00,88.00,39.00,39.00,203.50,107.50
176.00,80.00,39.00,39.00,195.50,99.50
168.00,80.00,39.00,39.00,187.50,99.50
152.00,80.00,39.00,39.00,171.50,99.50
144.00,80.00,39.00,39.00,163.50,99.50
136.00,168.00,39.00,39.00,155.50,187.50
120.00,160.00,39.00,39.00,139.50,179.50
112.00,160.00,39.00,39.00,131.50,179.50
104.00,168.00,39.00,39.00,123.50,187.50
120.00,168.00,39.00,39.00,139.50,187.50
128.00,168.00,39.00,39.00,147.50,187.50
128.00,168.00,39.00,39.00,147.50,187.50
144.00,160.00,39.00,39.00,163.50,179.50
152.00,168.00,39.00,39.00,171.50,187.50
152.00,176.00,39.00,39.00,171.50,195.50
144.00,176.00,39.00,39.00,163.50,195.50
144.00,168.00,39.00,39.00,163.50,187.50
144.00,184.00,39.00,39.00,163.50,203.50
136.00,176.00,39.00,39.00,155.50,195.50
136.00,184.00,39.00,39.00,155.50,203.50
128.00,176.00,39.00,39.00,147.50,195.50
120.00,184.00,39.00,39.00,139.50,203.50
120.00,168.00,39.00,39.00,139.50,187.50
104.00,184.00,39.00,39.00,123.50,203.50
128.00,184.00,39.00,39.00,147.50,203.50
136.00,224.00,39.00,39.00,155.50,243.50
112.00,224.00,39.00,39.00,131.50,243.50
88.00,216.00,39.00,39.00,107.50,235.50
64.00,208.00,39.00,39.00,83.50,227.50
40.00,200.00,39.00,39.00,59.50,219.50
32.00,184.00,39.00,39.00,51.50,203.50
24.00,160.00,39.00,39.00,43.50,179.50
24.00,136.00,39.00,39.00,43.50,155.50
24.00,112.00,39.00,39.00,43.50,131.50
144.00,216.00,39.00,39.00,163.50,235.50
152.00,200.00,39.00,39.00,171.50,219.50
168.00,176.00,39.00,39.00,187.50,195.50
176.00,160.00,39.00,39.00,195.50,179.50
176.00,136.00,39.00,39.00,195.50,155.50
192.00,112.00,39.00,39.00,211.50,131.50
200.00,88.00,39.00,39.00,219.50,107.50
200.00,64.00,39.00,39.00,219.50,83.50
