127,30
x,y,dx,dy,x_c,y_c
100.00,121.00,25.00,25.00,112.50,133.50
100.00,121.00,25.00,25.00,112.50,133.50
95.00,121.00,25.00,25.00,107.50,133.50
106.00,121.00,25.00,25.00,118.50,133.50
111.00,121.00,25.00,25.00,123.50,133.50
95.00,111.00,25.00,25.00,107.50,123.50
95.00,106.00,25.00,25.00,107.50,118.50
100.00,95.00,25.00,25.00,112.50,107.50
100.00,90.00,25.00,25.00,112.50,102.50
90.00,90.00,25.00,25.00,102.50,102.50
90.00,95.00,25.00,25.00,102.50,107.50
84.00,95.00,25.00,25.00,96.50,107.50
84.00,90.00,25.00,25.00,96.50,102.50
84.00,90.00,25.00,25.00,96.50,102.50
79.00,90.00,25.00,25.00,91.50,102.50
69.00,74.00,25.00,25.00,81.50,86.50
74.00,74.00,25.00,25.00,86.50,86.50
79.00,69.00,25.00,25.00,91.50,81.50
84.00,74.00,25.00,25.00,96.50,86.50
90.00,74.00,25.00,25.00,102.50,86.50
116.00,90.00,25.00,25.00,128.50,102.50
116.00,95.00,25.00,25.00,128.50,107.50
121.00,95.00,25.00,25.00,133.50,107.50
116.00,90.00,25.00,25.00,128.50,102.50
121.00,90.00,25.00,25.00,133.50,102.50
127.00,95.00,25.00,25.00,139.50,107.50
143.00,84.00,25.00,25.00,155.50,96.50
137.00,79.00,25.00,25.00,149.50,91.50
127.00,74.00,25.00,25.00,139.50,86.50
116.00,74.00,25.00,25.00,128.50,86.50
106.00,74.00,25.00,25.00,118.50,86.50
100.00,132.00,25.00,25.00,112.50,144.50
95.00,127.00,25.00,25.00,107.50,139.50
84.00,127.00,25.00,25.00,96.50,139.50
84.00,132.00,25.00,25.00,96.50,144.50
84.00,132.00,25.00,25.00,96.50,144.50
95.00,132.00,25.00,25.00,107.50,144.50
100.00,137.00,25.00,25.00,112.50,149.50
111.00,132.00,25.00,25.00,123.50,144.50
121.00,132.00,25.00,25.00,133.50,144.50
127.00,132.00,25.00,25.00,139.50,144.50
121.00,137.00,25.00,25.00,133.50,149.50
106.00,137.00,25.00,25.00,118.50,149.50
121.00,143.00,25.00,25.00,133.50,155.50
111.00,137.00,25.00,25.00,123.50,149.50
111.00,148.00,25.00,25.00,123.50,160.50
100.00,137.00,25.00,25.00,112.50,149.50
90.00,143.00,25.00,25.00,102.50,155.50
95.00,137.00,25.00,25.00,107.50,149.50
90.00,143.00,25.00,25.00,102.50,155.50
100.00,143.00,25.00,25.00,112.50,155.50
100.00,169.00,25.00,25.00,112.50,181.50
95.00,164.00,25.00,25.00,107.50,176.50
84.00,153.00,25.00,25.00,96.50,165.50
84.00,143.00,25.00,25.00,96.50,155.50
74.00,137.00,25.00,25.00,86.50,149.50
74.00,127.00,25.00,25.00,86.50,139.50
74.00,116.00,25.00,25.00,86.50,128.50
69.00,111.00,25.00,25.00,81.50,123.50
63.00,106.00,25.00,25.00,75.50,118.50
116.00,164.00,25.00,25.00,128.50,176.50
132.00,158.00,25.00,25.00,144.50,170.50
143.00,153.00,25.00,25.00,155.50,165.50
153.00,143.00,25.00,25.00,165.50,155.50
164.00,132.00,25.00,25.00,176.50,144.50
169.00,121.00,25.00,25.00,181.50,133.50
174.00,106.00,25.00,25.00,186.50,118.50
174.00,95.00,25.00,25.00,186.50,107.50
