179,30
x,y,dx,dy,x_c,y_c
243.48,304.62,75.34,75.34,281.14,342.28
243.48,304.62,75.34,75.34,281.14,342.28
228.19,304.62,75.34,75.34,265.86,342.28
258.76,304.62,75.34,75.34,296.43,342.28
274.05,304.62,75.34,75.34,311.71,342.28
228.19,274.05,75.34,75.34,265.86,311.71
228.19,258.76,75.34,75.34,265.86,296.43
243.48,228.19,75.34,75.34,281.14,265.86
243.48,212.90,75.34,75.34,281.14,250.57
197.62,212.90,75.34,75.34,235.29,250.57
197.62,212.90,75.34,75.34,235.29,250.57
182.33,212.90,75.34,75.34,220.00,250.57
182.33,212.90,75.34,75.34,220.00,250.57
182.33,197.62,75.34,75.34,220.00,235.29
167.05,212.90,75.34,75.34,204.72,250.57
151.76,167.05,75.34,75.34,189.43,204.72
167.05,167.05,75.34,75.34,204.72,204.72
182.33,167.05,75.34,75.34,220.00,204.72
197.62,167.05,75.34,75.34,235.29,204.72
212.90,167.05,75.34,75.34,250.57,204.72
289.33,212.90,75.34,75.34,327.00,250.57
304.62,212.90,75.34,75.34,342.28,250.57
319.90,212.90,75.34,75.34,357.57,250.57
304.62,197.62,75.34,75.34,342.28,235.29
319.90,197.62,75.34,75.34,357.57,235.29
334.10,212.90,75.34,75.34,371.76,250.57
379.95,182.33,75.34,75.34,417.62,220.00
349.38,167.05,75.34,75.34,387.05,204.72
319.90,167.05,75.34,75.34,357.57,204.72
289.33,167.05,75.34,75.34,327.00,204.72
258.76,167.05,75.34,75.34,296.43,204.72
243.48,319.90,75.34,75.34,281.14,357.57
228.19,319.90,75.34,75.34,265.86,357.57
197.62,319.90,75.34,75.34,235.29,357.57
197.62,334.10,75.34,75.34,235.29,371.76
197.62,319.90,75.34,75.34,235.29,357.57
228.19,334.10,75.34,75.34,265.86,371.76
243.48,334.10,75.34,75.34,281.14,371.76
274.05,319.90,75.34,75.34,311.71,357.57
304.62,319.90,75.34,75.34,342.28,357.57
319.90,319.90,75.34,75.34,357.57,357.57
304.62,319.90,75.34,75.34,342.28,357.57
274.05,334.10,75.34,75.34,311.71,371.76
304.62,349.38,75.34,75.34,342.28,387.05
274.05,334.10,75.34,75.34,311.71,371.76
274.05,364.67,75.34,75.34,311.71,402.33
243.48,334.10,75.34,75.34,281.14,371.76
212.90,364.67,75.34,75.34,250.57,402.33
228.19,334.10,75.34,75.34,265.86,371.76
212.90,349.38,75.34,75.34,250.57,387.05
243.48,364.67,75.34,75.34,281.14,402.33
243.48,441.09,75.34,75.34,281.14,478.76
228.19,441.09,75.34,75.34,265.86,478.76
212.90,425.81,75.34,75.34,250.57,463.48
212.90,395.24,75.34,75.34,250.57,432.91
197.62,364.67,75.34,75.34,235.29,402.33
197.62,334.10,75.34,75.34,235.29,371.76
197.62,304.62,75.34,75.34,235.29,342.28
197.62,274.05,75.34,75.34,235.29,311.71
197.62,258.76,75.34,75.34,235.29,296.43
274.05,425.81,75.34,75.34,311.71,463.48
319.90,410.52,75.34,75.34,357.57,448.19
349.38,395.24,75.34,75.34,387.05,432.91
379.95,364.67,75.34,75.34,417.62,402.33
395.24,334.10,75.34,75.34,432.91,371.76
410.52,289.33,75.34,75.34,448.19,327.00
410.52,243.48,75.34,75.34,448.19,281.14
425.81,197.62,75.34,75.34,463.48,235.29
