110,30
x,y,dx,dy,x_c,y_c
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
167.00,237.00,69.00,69.00,201.50,271.50
209.00,251.00,69.00,69.00,243.50,285.50
223.00,251.00,69.00,69.00,257.50,285.50
167.00,223.00,69.00,69.00,201.50,257.50
167.00,195.00,69.00,69.00,201.50,229.50
181.00,167.00,69.00,69.00,215.50,201.50
195.00,153.00,69.00,69.00,229.50,187.50
153.00,153.00,69.00,69.00,187.50,187.50
139.00,167.00,69.00,69.00,173.50,201.50
125.00,167.00,69.00,69.00,159.50,201.50
139.00,153.00,69.00,69.00,173.50,187.50
139.00,153.00,69.00,69.00,173.50,187.50
125.00,167.00,69.00,69.00,159.50,201.50
111.00,125.00,69.00,69.00,145.50,159.50
111.00,125.00,69.00,69.00,145.50,159.50
125.00,111.00,69.00,69.00,159.50,145.50
139.00,125.00,69.00,69.00,173.50,159.50
153.00,125.00,69.00,69.00,187.50,159.50
237.00,153.00,69.00,69.00,271.50,187.50
251.00,167.00,69.00,69.00,285.50,201.50
265.00,167.00,69.00,69.00,299.50,201.50
251.00,153.00,69.00,69.00,285.50,187.50
265.00,153.00,69.00,69.00,299.50,187.50
279.00,167.00,69.00,69.00,313.50,201.50
320.00,125.00,69.00,69.00,354.50,159.50
293.00,125.00,69.00,69.00,327.50,159.50
265.00,111.00,69.00,69.00,299.50,145.50
223.00,111.00,69.00,69.00,257.50,145.50
195.00,111.00,69.00,69.00,229.50,145.50
195.00,265.00,69.00,69.00,229.50,299.50
181.00,265.00,69.00,69.00,215.50,299.50
167.00,265.00,69.00,69.00,201.50,299.50
167.00,279.00,69.00,69.00,201.50,313.50
167.00,279.00,69.00,69.00,201.50,313.50
181.00,265.00,69.00,69.00,215.50,299.50
195.00,279.00,69.00,69.00,229.50,313.50
223.00,265.00,69.00,69.00,257.50,299.50
251.00,265.00,69.00,69.00,285.50,299.50
265.00,279.00,69.00,69.00,299.50,313.50
251.00,279.00,69.00,69.00,285.50,313.50
209.00,279.00,69.00,69.00,243.50,313.50
251.00,293.00,69.00,69.00,285.50,327.50
223.00,279.00,69.00,69.00,257.50,313.50
237.00,293.00,69.00,69.00,271.50,327.50
209.00,279.00,69.00,69.00,243.50,313.50
181.00,293.00,69.00,69.00,215.50,327.50
195.00,279.00,69.00,69.00,229.50,313.50
181.00,293.00,69.00,69.00,215.50,327.50
209.00,293.00,69.00,69.00,243.50,327.50
209.00,362.00,69.00,69.00,243.50,396.50
181.00,348.00,69.00,69.00,215.50,382.50
167.00,320.00,69.00,69.00,201.50,354.50
167.00,293.00,69.00,69.00,201.50,327.50
139.00,279.00,69.00,69.00,173.50,313.50
139.00,251.00,69.00,69.00,173.50,285.50
139.00,223.00,69.00,69.00,173.50,257.50
139.00,209.00,69.00,69.00,173.50,243.50
139.00,195.00,69.00,69.00,173.50,229.50
237.00,362.00,69.00,69.00,271.50,396.50
279.00,348.00,69.00,69.00,313.50,382.50
320.00,334.00,69.00,69.00,354.50,368.50
348.00,306.00,69.00,69.00,382.50,340.50
362.00,279.00,69.00,69.00,396.50,313.50
376.00,237.00,69.00,69.00,410.50,271.50
390.00,195.00,69.00,69.00,424.50,229.50
390.00,167.00,69.00,69.00,424.50,201.50
