82,0
x,y,dx,dy,x_c,y_c
115.00,133.00,29.00,29.00,129.50,147.50
109.00,133.00,29.00,29.00,123.50,147.50
103.00,133.00,29.00,29.00,117.50,147.50
121.00,133.00,29.00,29.00,135.50,147.50
127.00,133.00,29.00,29.00,141.50,147.50
115.00,121.00,29.00,29.00,129.50,135.50
115.00,115.00,29.00,29.00,129.50,129.50
115.00,103.00,29.00,29.00,129.50,117.50
115.00,97.00,29.00,29.00,129.50,111.50
97.00,97.00,29.00,29.00,111.50,111.50
97.00,97.00,29.00,29.00,111.50,111.50
91.00,97.00,29.00,29.00,105.50,111.50
91.00,91.00,29.00,29.00,105.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
85.00,97.00,29.00,29.00,99.50,111.50
67.00,91.00,29.00,29.00,81.50,105.50
73.00,85.00,29.00,29.00,87.50,99.50
85.00,79.00,29.00,29.00,99.50,93.50
97.00,79.00,29.00,29.00,111.50,93.50
103.00,79.00,29.00,29.00,117.50,93.50
133.00,97.00,29.00,29.00,147.50,111.50
139.00,97.00,29.00,29.00,153.50,111.50
146.00,97.00,29.00,29.00,160.50,111.50
139.00,97.00,29.00,29.00,153.50,111.50
146.00,97.00,29.00,29.00,160.50,111.50
152.00,97.00,29.00,29.00,166.50,111.50
164.00,85.00,29.00,29.00,178.50,99.50
158.00,79.00,29.00,29.00,172.50,93.50
146.00,79.00,29.00,29.00,160.50,93.50
139.00,79.00,29.00,29.00,153.50,93.50
127.00,79.00,29.00,29.00,141.50,93.50
115.00,146.00,29.00,29.00,129.50,160.50
109.00,139.00,29.00,29.00,123.50,153.50
97.00,139.00,29.00,29.00,111.50,153.50
85.00,152.00,29.00,29.00,99.50,166.50
91.00,146.00,29.00,29.00,105.50,160.50
103.00,139.00,29.00,29.00,117.50,153.50
115.00,152.00,29.00,29.00,129.50,166.50
127.00,139.00,29.00,29.00,141.50,153.50
133.00,146.00,29.00,29.00,147.50,160.50
139.00,146.00,29.00,29.00,153.50,160.50
133.00,146.00,29.00,29.00,147.50,160.50
133.00,146.00,29.00,29.00,147.50,160.50
133.00,158.00,29.00,29.00,147.50,172.50
127.00,158.00,29.00,29.00,141.50,172.50
127.00,170.00,29.00,29.00,141.50,184.50
115.00,164.00,29.00,29.00,129.50,178.50
97.00,170.00,29.00,29.00,111.50,184.50
97.00,158.00,29.00,29.00,111.50,172.50
91.00,158.00,29.00,29.00,105.50,172.50
115.00,170.00,29.00,29.00,129.50,184.50
115.00,200.00,29.00,29.00,129.50,214.50
103.00,194.00,29.00,29.00,117.50,208.50
91.00,182.00,29.00,29.00,105.50,196.50
79.00,170.00,29.00,29.00,93.50,184.50
67.00,158.00,29.00,29.00,81.50,172.50
61.00,146.00,29.00,29.00,75.50,160.50
61.00,133.00,29.00,29.00,75.50,147.50
55.00,115.00,29.00,29.00,69.50,129.50
55.00,103.00,29.00,29.00,69.50,117.50
127.00,194.00,29.00,29.00,141.50,208.50
139.00,182.00,29.00,29.00,153.50,196.50
158.00,176.00,29.00,29.00,172.50,190.50
164.00,164.00,29.00,29.00,178.50,178.50
170.00,152.00,29.00,29.00,184.50,166.50
176.00,139.00,29.00,29.00,190.50,153.50
182.00,121.00,29.00,29.00,196.50,135.50
182.00,109.00,29.00,29.00,196.50,123.50
