64,0
x,y,dx,dy,x_c,y_c
206.00,255.00,60.00,60.00,236.00,285.00
194.00,255.00,60.00,60.00,224.00,285.00
182.00,243.00,60.00,60.00,212.00,273.00
218.00,255.00,60.00,60.00,248.00,285.00
218.00,255.00,60.00,60.00,248.00,285.00
206.00,230.00,60.00,60.00,236.00,260.00
206.00,206.00,60.00,60.00,236.00,236.00
206.00,182.00,60.00,60.00,236.00,212.00
206.00,170.00,60.00,60.00,236.00,200.00
182.00,170.00,60.00,60.00,212.00,200.00
170.00,170.00,60.00,60.00,200.00,200.00
170.00,170.00,60.00,60.00,200.00,200.00
170.00,158.00,60.00,60.00,200.00,188.00
170.00,158.00,60.00,60.00,200.00,188.00
158.00,158.00,60.00,60.00,188.00,188.00
133.00,133.00,60.00,60.00,163.00,163.00
146.00,121.00,60.00,60.00,176.00,151.00
158.00,109.00,60.00,60.00,188.00,139.00
170.00,121.00,60.00,60.00,200.00,151.00
182.00,133.00,60.00,60.00,212.00,163.00
243.00,182.00,60.00,60.00,273.00,212.00
255.00,182.00,60.00,60.00,285.00,212.00
267.00,182.00,60.00,60.00,297.00,212.00
255.00,170.00,60.00,60.00,285.00,200.00
267.00,170.00,60.00,60.00,297.00,200.00
279.00,182.00,60.00,60.00,309.00,212.00
303.00,158.00,60.00,60.00,333.00,188.00
291.00,146.00,60.00,60.00,321.00,176.00
267.00,146.00,60.00,60.00,297.00,176.00
255.00,146.00,60.00,60.00,285.00,176.00
230.00,146.00,60.00,60.00,260.00,176.00
206.00,267.00,60.00,60.00,236.00,297.00
194.00,267.00,60.00,60.00,224.00,297.00
182.00,279.00,60.00,60.00,212.00,309.00
182.00,303.00,60.00,60.00,212.00,333.00
182.00,291.00,60.00,60.00,212.00,321.00
194.00,279.00,60.00,60.00,224.00,309.00
206.00,279.00,60.00,60.00,236.00,309.00
218.00,255.00,60.00,60.00,248.00,285.00
230.00,267.00,60.00,60.00,260.00,297.00
243.00,279.00,60.00,60.00,273.00,309.00
230.00,279.00,60.00,60.00,260.00,309.00
218.00,267.00,60.00,60.00,248.00,297.00
243.00,291.00,60.00,60.00,273.00,321.00
230.00,279.00,60.00,60.00,260.00,309.00
230.00,291.00,60.00,60.00,260.00,321.00
206.00,279.00,60.00,60.00,236.00,309.00
194.00,291.00,60.00,60.00,224.00,321.00
194.00,279.00,60.00,60.00,224.00,309.00
182.00,291.00,60.00,60.00,212.00,321.00
206.00,291.00,60.00,60.00,236.00,321.00
218.00,340.00,60.00,60.00,248.00,370.00
194.00,340.00,60.00,60.00,224.00,370.00
170.00,315.00,60.00,60.00,200.00,345.00
146.00,279.00,60.00,60.00,176.00,309.00
133.00,255.00,60.00,60.00,163.00,285.00
121.00,218.00,60.00,60.00,151.00,248.00
109.00,182.00,60.00,60.00,139.00,212.00
97.00,146.00,60.00,60.00,127.00,176.00
97.00,109.00,60.00,60.00,127.00,139.00
243.00,327.00,60.00,60.00,273.00,357.00
267.00,303.00,60.00,60.00,297.00,333.00
303.00,279.00,60.00,60.00,333.00,309.00
315.00,243.00,60.00,60.00,345.00,273.00
327.00,206.00,60.00,60.00,357.00,236.00
340.00,170.00,60.00,60.00,370.00,200.00
352.00,133.00,60.00,60.00,382.00,163.00
352.00,97.00,60.00,60.00,382.00,127.00
