130,0
x,y,dx,dy,x_c,y_c
218.00,255.00,60.00,60.00,248.00,285.00
206.00,255.00,60.00,60.00,236.00,285.00
194.00,255.00,60.00,60.00,224.00,285.00
230.00,255.00,60.00,60.00,260.00,285.00
230.00,255.00,60.00,60.00,260.00,285.00
218.00,230.00,60.00,60.00,248.00,260.00
218.00,218.00,60.00,60.00,248.00,248.00
218.00,194.00,60.00,60.00,248.00,224.00
218.00,182.00,60.00,60.00,248.00,212.00
182.00,182.00,60.00,60.00,212.00,212.00
170.00,182.00,60.00,60.00,200.00,212.00
158.00,182.00,60.00,60.00,188.00,212.00
170.00,170.00,60.00,60.00,200.00,200.00
158.00,170.00,60.00,60.00,188.00,200.00
146.00,170.00,60.00,60.00,176.00,200.00
121.00,158.00,60.00,60.00,151.00,188.00
133.00,146.00,60.00,60.00,163.00,176.00
146.00,133.00,60.00,60.00,176.00,163.00
170.00,146.00,60.00,60.00,200.00,176.00
182.00,146.00,60.00,60.00,212.00,176.00
255.00,182.00,60.00,60.00,285.00,212.00
267.00,182.00,60.00,60.00,297.00,212.00
267.00,182.00,60.00,60.00,297.00,212.00
255.00,170.00,60.00,60.00,285.00,200.00
267.00,170.00,60.00,60.00,297.00,200.00
279.00,170.00,60.00,60.00,309.00,200.00
303.00,158.00,60.00,60.00,333.00,188.00
291.00,146.00,60.00,60.00,321.00,176.00
267.00,146.00,60.00,60.00,297.00,176.00
255.00,146.00,60.00,60.00,285.00,176.00
230.00,146.00,60.00,60.00,260.00,176.00
218.00,279.00,60.00,60.00,248.00,309.00
206.00,279.00,60.00,60.00,236.00,309.00
194.00,291.00,60.00,60.00,224.00,321.00
182.00,315.00,60.00,60.00,212.00,345.00
194.00,315.00,60.00,60.00,224.00,345.00
206.00,291.00,60.00,60.00,236.00,321.00
218.00,291.00,60.00,60.00,248.00,321.00
230.00,279.00,60.00,60.00,260.00,309.00
243.00,303.00,60.00,60.00,273.00,333.00
255.00,315.00,60.00,60.00,285.00,345.00
243.00,315.00,60.00,60.00,273.00,345.00
230.00,291.00,60.00,60.00,260.00,321.00
243.00,327.00,60.00,60.00,273.00,357.00
230.00,315.00,60.00,60.00,260.00,345.00
230.00,340.00,60.00,60.00,260.00,370.00
206.00,327.00,60.00,60.00,236.00,357.00
194.00,340.00,60.00,60.00,224.00,370.00
194.00,315.00,60.00,60.00,224.00,345.00
182.00,327.00,60.00,60.00,212.00,357.00
206.00,340.00,60.00,60.00,236.00,370.00
218.00,400.00,60.00,60.00,248.00,430.00
194.00,388.00,60.00,60.00,224.00,418.00
170.00,376.00,60.00,60.00,200.00,406.00
146.00,352.00,60.00,60.00,176.00,382.00
133.00,315.00,60.00,60.00,163.00,345.00
121.00,279.00,60.00,60.00,151.00,309.00
121.00,255.00,60.00,60.00,151.00,285.00
109.00,218.00,60.00,60.00,139.00,248.00
109.00,182.00,60.00,60.00,139.00,212.00
243.00,388.00,60.00,60.00,273.00,418.00
267.00,376.00,60.00,60.00,297.00,406.00
279.00,352.00,60.00,60.00,309.00,382.00
291.00,315.00,60.00,60.00,321.00,345.00
291.00,279.00,60.00,60.00,321.00,309.00
303.00,255.00,60.00,60.00,333.00,285.00
315.00,218.00,60.00,60.00,345.00,248.00
315.00,194.00,60.00,60.00,345.00,224.00
