167,0
x,y,dx,dy,x_c,y_c
181.00,209.00,69.00,69.00,215.50,243.50
167.00,209.00,69.00,69.00,201.50,243.50
153.00,195.00,69.00,69.00,187.50,229.50
195.00,209.00,69.00,69.00,229.50,243.50
209.00,209.00,69.00,69.00,243.50,243.50
181.00,181.00,69.00,69.00,215.50,215.50
181.00,167.00,69.00,69.00,215.50,201.50
181.00,139.00,69.00,69.00,215.50,173.50
181.00,125.00,69.00,69.00,215.50,159.50
153.00,125.00,69.00,69.00,187.50,159.50
139.00,125.00,69.00,69.00,173.50,159.50
139.00,125.00,69.00,69.00,173.50,159.50
139.00,125.00,69.00,69.00,173.50,159.50
125.00,125.00,69.00,69.00,159.50,159.50
111.00,139.00,69.00,69.00,145.50,173.50
84.00,111.00,69.00,69.00,118.50,145.50
98.00,98.00,69.00,69.00,132.50,132.50
111.00,84.00,69.00,69.00,145.50,118.50
139.00,98.00,69.00,69.00,173.50,132.50
167.00,98.00,69.00,69.00,201.50,132.50
223.00,125.00,69.00,69.00,257.50,159.50
237.00,139.00,69.00,69.00,271.50,173.50
237.00,139.00,69.00,69.00,271.50,173.50
223.00,125.00,69.00,69.00,257.50,159.50
237.00,125.00,69.00,69.00,271.50,159.50
251.00,125.00,69.00,69.00,285.50,159.50
279.00,98.00,69.00,69.00,313.50,132.50
265.00,98.00,69.00,69.00,299.50,132.50
237.00,98.00,69.00,69.00,271.50,132.50
223.00,98.00,69.00,69.00,257.50,132.50
195.00,98.00,69.00,69.00,229.50,132.50
181.00,223.00,69.00,69.00,215.50,257.50
153.00,209.00,69.00,69.00,187.50,243.50
139.00,223.00,69.00,69.00,173.50,257.50
125.00,237.00,69.00,69.00,159.50,271.50
125.00,237.00,69.00,69.00,159.50,271.50
139.00,223.00,69.00,69.00,173.50,257.50
181.00,237.00,69.00,69.00,215.50,271.50
209.00,209.00,69.00,69.00,243.50,243.50
223.00,223.00,69.00,69.00,257.50,257.50
237.00,237.00,69.00,69.00,271.50,271.50
223.00,237.00,69.00,69.00,257.50,271.50
209.00,223.00,69.00,69.00,243.50,257.50
223.00,251.00,69.00,69.00,257.50,285.50
209.00,237.00,69.00,69.00,243.50,271.50
209.00,265.00,69.00,69.00,243.50,299.50
181.00,251.00,69.00,69.00,215.50,285.50
139.00,251.00,69.00,69.00,173.50,285.50
139.00,223.00,69.00,69.00,173.50,257.50
125.00,237.00,69.00,69.00,159.50,271.50
181.00,265.00,69.00,69.00,215.50,299.50
181.00,334.00,69.00,69.00,215.50,368.50
153.00,320.00,69.00,69.00,187.50,354.50
125.00,293.00,69.00,69.00,159.50,327.50
98.00,279.00,69.00,69.00,132.50,313.50
84.00,251.00,69.00,69.00,118.50,285.50
70.00,223.00,69.00,69.00,104.50,257.50
70.00,195.00,69.00,69.00,104.50,229.50
56.00,153.00,69.00,69.00,90.50,187.50
56.00,111.00,69.00,69.00,90.50,145.50
209.00,320.00,69.00,69.00,243.50,354.50
237.00,293.00,69.00,69.00,271.50,327.50
265.00,279.00,69.00,69.00,299.50,313.50
279.00,237.00,69.00,69.00,313.50,271.50
293.00,209.00,69.00,69.00,327.50,243.50
306.00,181.00,69.00,69.00,340.50,215.50
320.00,139.00,69.00,69.00,354.50,173.50
320.00,98.00,69.00,69.00,354.50,132.50
