42,0
x,y,dx,dy,x_c,y_c
40.00,40.00,19.00,19.00,49.50,49.50
36.00,40.00,19.00,19.00,45.50,49.50
32.00,36.00,19.00,19.00,41.50,45.50
48.00,36.00,19.00,19.00,57.50,45.50
52.00,36.00,19.00,19.00,61.50,45.50
40.00,40.00,19.00,19.00,49.50,49.50
40.00,36.00,19.00,19.00,49.50,45.50
40.00,32.00,19.00,19.00,49.50,41.50
40.00,28.00,19.00,19.00,49.50,37.50
32.00,32.00,19.00,19.00,41.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
28.00,28.00,19.00,19.00,37.50,37.50
28.00,28.00,19.00,19.00,37.50,37.50
24.00,32.00,19.00,19.00,33.50,41.50
16.00,28.00,19.00,19.00,25.50,37.50
20.00,24.00,19.00,19.00,29.50,33.50
24.00,20.00,19.00,19.00,33.50,29.50
32.00,24.00,19.00,19.00,41.50,33.50
36.00,28.00,19.00,19.00,45.50,37.50
48.00,32.00,19.00,19.00,57.50,41.50
48.00,32.00,19.00,19.00,57.50,41.50
52.00,32.00,19.00,19.00,61.50,41.50
48.00,32.00,19.00,19.00,57.50,41.50
48.00,32.00,19.00,19.00,57.50,41.50
52.00,32.00,19.00,19.00,61.50,41.50
60.00,24.00,19.00,19.00,69.50,33.50
56.00,24.00,19.00,19.00,65.50,33.50
52.00,24.00,19.00,19.00,61.50,33.50
48.00,24.00,19.00,19.00,57.50,33.50
44.00,24.00,19.00,19.00,53.50,33.50
40.00,44.00,19.00,19.00,49.50,53.50
32.00,44.00,19.00,19.00,41.50,53.50
24.00,44.00,19.00,19.00,33.50,53.50
20.00,52.00,19.00,19.00,29.50,61.50
20.00,48.00,19.00,19.00,29.50,57.50
32.00,48.00,19.00,19.00,41.50,57.50
40.00,48.00,19.00,19.00,49.50,57.50
48.00,40.00,19.00,19.00,57.50,49.50
56.00,44.00,19.00,19.00,65.50,53.50
60.00,44.00,19.00,19.00,69.50,53.50
56.00,44.00,19.00,19.00,65.50,53.50
52.00,44.00,19.00,19.00,61.50,53.50
56.00,52.00,19.00,19.00,65.50,61.50
48.00,48.00,19.00,19.00,57.50,57.50
48.00,52.00,19.00,19.00,57.50,61.50
36.00,48.00,19.00,19.00,45.50,57.50
28.00,52.00,19.00,19.00,37.50,61.50
28.00,48.00,19.00,19.00,37.50,57.50
24.00,52.00,19.00,19.00,33.50,61.50
36.00,52.00,19.00,19.00,45.50,61.50
36.00,68.00,19.00,19.00,45.50,77.50
28.00,68.00,19.00,19.00,37.50,77.50
24.00,64.00,19.00,19.00,33.50,73.50
16.00,56.00,19.00,19.00,25.50,65.50
12.00,48.00,19.00,19.00,21.50,57.50
8.00,36.00,19.00,19.00,17.50,45.50
8.00,28.00,19.00,19.00,17.50,37.50
4.00,16.00,19.00,19.00,13.50,25.50
4.00,4.00,19.00,19.00,13.50,13.50
44.00,64.00,19.00,19.00,53.50,73.50
52.00,60.00,19.00,19.00,61.50,69.50
56.00,56.00,19.00,19.00,65.50,65.50
60.00,48.00,19.00,19.00,69.50,57.50
60.00,40.00,19.00,19.00,69.50,49.50
60.00,28.00,19.00,19.00,69.50,37.50
64.00,16.00,19.00,19.00,73.50,25.50
64.00,4.00,19.00,19.00,73.50,13.50
