102,15
x,y,dx,dy,x_c,y_c
226.91,296.73,86.18,86.18,270.00,339.82
209.45,296.73,86.18,86.18,252.55,339.82
192.00,296.73,86.18,86.18,235.09,339.82
226.91,296.73,86.18,86.18,270.00,339.82
244.36,296.73,86.18,86.18,287.45,339.82
209.45,261.82,86.18,86.18,252.55,304.91
209.45,244.36,86.18,86.18,252.55,287.45
209.45,226.91,86.18,86.18,252.55,270.00
209.45,192.00,86.18,86.18,252.55,235.09
174.55,209.45,86.18,86.18,217.64,252.55
174.55,209.45,86.18,86.18,217.64,252.55
157.09,209.45,86.18,86.18,200.18,252.55
174.55,192.00,86.18,86.18,217.64,235.09
157.09,192.00,86.18,86.18,200.18,235.09
139.64,209.45,86.18,86.18,182.73,252.55
104.73,174.55,86.18,86.18,147.82,217.64
122.18,174.55,86.18,86.18,165.27,217.64
139.64,174.55,86.18,86.18,182.73,217.64
157.09,174.55,86.18,86.18,200.18,217.64
174.55,174.55,86.18,86.18,217.64,217.64
261.82,192.00,86.18,86.18,304.91,235.09
279.27,192.00,86.18,86.18,322.36,235.09
296.73,192.00,86.18,86.18,339.82,235.09
279.27,174.55,86.18,86.18,322.36,217.64
296.73,174.55,86.18,86.18,339.82,217.64
314.18,192.00,86.18,86.18,357.27,235.09
366.55,157.09,86.18,86.18,409.64,200.18
349.09,139.64,86.18,86.18,392.18,182.73
314.18,139.64,86.18,86.18,357.27,182.73
279.27,139.64,86.18,86.18,322.36,182.73
244.36,157.09,86.18,86.18,287.45,200.18
226.91,314.18,86.18,86.18,270.00,357.27
209.45,314.18,86.18,86.18,252.55,357.27
192.00,331.64,86.18,86.18,235.09,374.73
174.55,349.09,86.18,86.18,217.64,392.18
192.00,349.09,86.18,86.18,235.09,392.18
209.45,331.64,86.18,86.18,252.55,374.73
226.91,331.64,86.18,86.18,270.00,374.73
261.82,314.18,86.18,86.18,304.91,357.27
279.27,314.18,86.18,86.18,322.36,357.27
314.18,331.64,86.18,86.18,357.27,374.73
279.27,331.64,86.18,86.18,322.36,374.73
261.82,331.64,86.18,86.18,304.91,374.73
296.73,366.55,86.18,86.18,339.82,409.64
261.82,331.64,86.18,86.18,304.91,374.73
261.82,349.09,86.18,86.18,304.91,392.18
226.91,331.64,86.18,86.18,270.00,374.73
192.00,366.55,86.18,86.18,235.09,409.64
192.00,331.64,86.18,86.18,235.09,374.73
174.55,349.09,86.18,86.18,217.64,392.18
226.91,366.55,86.18,86.18,270.00,409.64
209.45,453.82,86.18,86.18,252.55,496.91
192.00,436.36,86.18,86.18,235.09,479.45
174.55,418.91,86.18,86.18,217.64,462.00
157.09,384.00,86.18,86.18,200.18,427.09
139.64,366.55,86.18,86.18,182.73,409.64
122.18,331.64,86.18,86.18,165.27,374.73
104.73,296.73,86.18,86.18,147.82,339.82
87.27,261.82,86.18,86.18,130.36,304.91
87.27,226.91,86.18,86.18,130.36,270.00
261.82,436.36,86.18,86.18,304.91,479.45
314.18,418.91,86.18,86.18,357.27,462.00
366.55,401.45,86.18,86.18,409.64,444.55
401.45,366.55,86.18,86.18,444.55,409.64
436.36,314.18,86.18,86.18,479.45,357.27
436.36,261.82,86.18,86.18,479.45,304.91
453.82,209.45,86.18,86.18,496.91,252.55
453.82,174.55,86.18,86.18,496.91,217.64
