54,0
x,y,dx,dy,x_c,y_c
167.00,223.00,69.00,69.00,201.50,257.50
167.00,223.00,69.00,69.00,201.50,257.50
153.00,223.00,69.00,69.00,187.50,257.50
181.00,223.00,69.00,69.00,215.50,257.50
195.00,223.00,69.00,69.00,229.50,257.50
167.00,195.00,69.00,69.00,201.50,229.50
167.00,181.00,69.00,69.00,201.50,215.50
167.00,153.00,69.00,69.00,201.50,187.50
181.00,139.00,69.00,69.00,215.50,173.50
139.00,125.00,69.00,69.00,173.50,159.50
125.00,125.00,69.00,69.00,159.50,159.50
111.00,125.00,69.00,69.00,145.50,159.50
125.00,111.00,69.00,69.00,159.50,145.50
111.00,111.00,69.00,69.00,145.50,145.50
98.00,111.00,69.00,69.00,132.50,145.50
70.00,98.00,69.00,69.00,104.50,132.50
84.00,84.00,69.00,69.00,118.50,118.50
111.00,84.00,69.00,69.00,145.50,118.50
125.00,98.00,69.00,69.00,159.50,132.50
139.00,98.00,69.00,69.00,173.50,132.50
223.00,153.00,69.00,69.00,257.50,187.50
237.00,153.00,69.00,69.00,271.50,187.50
237.00,153.00,69.00,69.00,271.50,187.50
223.00,139.00,69.00,69.00,257.50,173.50
237.00,139.00,69.00,69.00,271.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
279.00,111.00,69.00,69.00,313.50,145.50
265.00,98.00,69.00,69.00,299.50,132.50
237.00,98.00,69.00,69.00,271.50,132.50
223.00,98.00,69.00,69.00,257.50,132.50
195.00,111.00,69.00,69.00,229.50,145.50
167.00,237.00,69.00,69.00,201.50,271.50
153.00,237.00,69.00,69.00,187.50,271.50
125.00,237.00,69.00,69.00,159.50,271.50
111.00,265.00,69.00,69.00,145.50,299.50
111.00,251.00,69.00,69.00,145.50,285.50
153.00,251.00,69.00,69.00,187.50,285.50
167.00,251.00,69.00,69.00,201.50,285.50
195.00,237.00,69.00,69.00,229.50,271.50
209.00,251.00,69.00,69.00,243.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
195.00,251.00,69.00,69.00,229.50,285.50
209.00,279.00,69.00,69.00,243.50,313.50
195.00,265.00,69.00,69.00,229.50,299.50
195.00,279.00,69.00,69.00,229.50,313.50
167.00,265.00,69.00,69.00,201.50,299.50
139.00,279.00,69.00,69.00,173.50,313.50
125.00,251.00,69.00,69.00,159.50,285.50
111.00,265.00,69.00,69.00,145.50,299.50
167.00,279.00,69.00,69.00,201.50,313.50
181.00,348.00,69.00,69.00,215.50,382.50
153.00,348.00,69.00,69.00,187.50,382.50
125.00,334.00,69.00,69.00,159.50,368.50
98.00,320.00,69.00,69.00,132.50,354.50
84.00,306.00,69.00,69.00,118.50,340.50
70.00,279.00,69.00,69.00,104.50,313.50
70.00,251.00,69.00,69.00,104.50,285.50
56.00,209.00,69.00,69.00,90.50,243.50
56.00,167.00,69.00,69.00,90.50,201.50
209.00,334.00,69.00,69.00,243.50,368.50
237.00,306.00,69.00,69.00,271.50,340.50
265.00,279.00,69.00,69.00,299.50,313.50
279.00,237.00,69.00,69.00,313.50,271.50
293.00,195.00,69.00,69.00,327.50,229.50
306.00,153.00,69.00,69.00,340.50,187.50
320.00,111.00,69.00,69.00,354.50,145.50
320.00,84.00,69.00,69.00,354.50,118.50
