69,0
x,y,dx,dy,x_c,y_c
52.00,72.00,19.00,19.00,61.50,81.50
48.00,72.00,19.00,19.00,57.50,81.50
44.00,68.00,19.00,19.00,53.50,77.50
56.00,72.00,19.00,19.00,65.50,81.50
64.00,72.00,19.00,19.00,73.50,81.50
52.00,64.00,19.00,19.00,61.50,73.50
52.00,60.00,19.00,19.00,61.50,69.50
52.00,52.00,19.00,19.00,61.50,61.50
52.00,48.00,19.00,19.00,61.50,57.50
44.00,48.00,19.00,19.00,53.50,57.50
40.00,48.00,19.00,19.00,49.50,57.50
40.00,48.00,19.00,19.00,49.50,57.50
40.00,48.00,19.00,19.00,49.50,57.50
40.00,48.00,19.00,19.00,49.50,57.50
36.00,48.00,19.00,19.00,45.50,57.50
24.00,44.00,19.00,19.00,33.50,53.50
28.00,40.00,19.00,19.00,37.50,49.50
32.00,40.00,19.00,19.00,41.50,49.50
40.00,40.00,19.00,19.00,49.50,49.50
48.00,40.00,19.00,19.00,57.50,49.50
64.00,48.00,19.00,19.00,73.50,57.50
68.00,48.00,19.00,19.00,77.50,57.50
68.00,48.00,19.00,19.00,77.50,57.50
68.00,44.00,19.00,19.00,77.50,53.50
72.00,44.00,19.00,19.00,81.50,53.50
76.00,44.00,19.00,19.00,85.50,53.50
84.00,36.00,19.00,19.00,93.50,45.50
80.00,36.00,19.00,19.00,89.50,45.50
72.00,36.00,19.00,19.00,81.50,45.50
64.00,36.00,19.00,19.00,73.50,45.50
56.00,36.00,19.00,19.00,65.50,45.50
52.00,76.00,19.00,19.00,61.50,85.50
44.00,72.00,19.00,19.00,53.50,81.50
40.00,72.00,19.00,19.00,49.50,81.50
36.00,76.00,19.00,19.00,45.50,85.50
36.00,76.00,19.00,19.00,45.50,85.50
40.00,76.00,19.00,19.00,49.50,85.50
52.00,80.00,19.00,19.00,61.50,89.50
60.00,72.00,19.00,19.00,69.50,81.50
68.00,76.00,19.00,19.00,77.50,85.50
72.00,76.00,19.00,19.00,81.50,85.50
72.00,80.00,19.00,19.00,81.50,89.50
64.00,76.00,19.00,19.00,73.50,85.50
72.00,84.00,19.00,19.00,81.50,93.50
68.00,80.00,19.00,19.00,77.50,89.50
68.00,84.00,19.00,19.00,77.50,93.50
60.00,80.00,19.00,19.00,69.50,89.50
56.00,84.00,19.00,19.00,65.50,93.50
56.00,80.00,19.00,19.00,65.50,89.50
52.00,84.00,19.00,19.00,61.50,93.50
60.00,84.00,19.00,19.00,69.50,93.50
64.00,100.00,19.00,19.00,73.50,109.50
52.00,96.00,19.00,19.00,61.50,105.50
44.00,92.00,19.00,19.00,53.50,101.50
36.00,84.00,19.00,19.00,45.50,93.50
28.00,76.00,19.00,19.00,37.50,85.50
24.00,68.00,19.00,19.00,33.50,77.50
24.00,60.00,19.00,19.00,33.50,69.50
20.00,48.00,19.00,19.00,29.50,57.50
20.00,36.00,19.00,19.00,29.50,45.50
76.00,96.00,19.00,19.00,85.50,105.50
88.00,88.00,19.00,19.00,97.50,97.50
96.00,84.00,19.00,19.00,105.50,93.50
100.00,72.00,19.00,19.00,109.50,81.50
104.00,64.00,19.00,19.00,113.50,73.50
104.00,56.00,19.00,19.00,113.50,65.50
108.00,44.00,19.00,19.00,117.50,53.50
108.00,32.00,19.00,19.00,117.50,41.50
