54,0
x,y,dx,dy,x_c,y_c
115.00,139.00,29.00,29.00,129.50,153.50
109.00,139.00,29.00,29.00,123.50,153.50
103.00,133.00,29.00,29.00,117.50,147.50
121.00,133.00,29.00,29.00,135.50,147.50
121.00,133.00,29.00,29.00,135.50,147.50
115.00,127.00,29.00,29.00,129.50,141.50
115.00,115.00,29.00,29.00,129.50,129.50
115.00,103.00,29.00,29.00,129.50,117.50
121.00,97.00,29.00,29.00,135.50,111.50
103.00,97.00,29.00,29.00,117.50,111.50
97.00,97.00,29.00,29.00,111.50,111.50
97.00,103.00,29.00,29.00,111.50,117.50
97.00,91.00,29.00,29.00,111.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
85.00,91.00,29.00,29.00,99.50,105.50
67.00,79.00,29.00,29.00,81.50,93.50
73.00,73.00,29.00,29.00,87.50,87.50
79.00,73.00,29.00,29.00,93.50,87.50
91.00,79.00,29.00,29.00,105.50,93.50
103.00,79.00,29.00,29.00,117.50,93.50
139.00,97.00,29.00,29.00,153.50,111.50
146.00,97.00,29.00,29.00,160.50,111.50
146.00,97.00,29.00,29.00,160.50,111.50
139.00,91.00,29.00,29.00,153.50,105.50
146.00,91.00,29.00,29.00,160.50,105.50
152.00,91.00,29.00,29.00,166.50,105.50
164.00,73.00,29.00,29.00,178.50,87.50
164.00,67.00,29.00,29.00,178.50,81.50
158.00,67.00,29.00,29.00,172.50,81.50
152.00,73.00,29.00,29.00,166.50,87.50
139.00,79.00,29.00,29.00,153.50,93.50
115.00,152.00,29.00,29.00,129.50,166.50
109.00,152.00,29.00,29.00,123.50,166.50
103.00,158.00,29.00,29.00,117.50,172.50
97.00,164.00,29.00,29.00,111.50,178.50
97.00,164.00,29.00,29.00,111.50,178.50
109.00,158.00,29.00,29.00,123.50,172.50
115.00,158.00,29.00,29.00,129.50,172.50
127.00,152.00,29.00,29.00,141.50,166.50
139.00,158.00,29.00,29.00,153.50,172.50
146.00,158.00,29.00,29.00,160.50,172.50
139.00,164.00,29.00,29.00,153.50,178.50
127.00,158.00,29.00,29.00,141.50,172.50
146.00,164.00,29.00,29.00,160.50,178.50
139.00,158.00,29.00,29.00,153.50,172.50
139.00,170.00,29.00,29.00,153.50,184.50
127.00,164.00,29.00,29.00,141.50,178.50
115.00,170.00,29.00,29.00,129.50,184.50
109.00,158.00,29.00,29.00,123.50,172.50
103.00,164.00,29.00,29.00,117.50,178.50
127.00,170.00,29.00,29.00,141.50,184.50
127.00,200.00,29.00,29.00,141.50,214.50
109.00,194.00,29.00,29.00,123.50,208.50
97.00,182.00,29.00,29.00,111.50,196.50
85.00,164.00,29.00,29.00,99.50,178.50
73.00,146.00,29.00,29.00,87.50,160.50
67.00,127.00,29.00,29.00,81.50,141.50
61.00,109.00,29.00,29.00,75.50,123.50
55.00,91.00,29.00,29.00,69.50,105.50
55.00,73.00,29.00,29.00,69.50,87.50
139.00,194.00,29.00,29.00,153.50,208.50
152.00,182.00,29.00,29.00,166.50,196.50
164.00,170.00,29.00,29.00,178.50,184.50
170.00,152.00,29.00,29.00,184.50,166.50
170.00,133.00,29.00,29.00,184.50,147.50
176.00,115.00,29.00,29.00,190.50,129.50
182.00,97.00,29.00,29.00,196.50,111.50
182.00,79.00,29.00,29.00,196.50,93.50
