77,0
x,y,dx,dy,x_c,y_c
133.00,182.00,60.00,60.00,163.00,212.00
121.00,182.00,60.00,60.00,151.00,212.00
109.00,182.00,60.00,60.00,139.00,212.00
146.00,182.00,60.00,60.00,176.00,212.00
158.00,182.00,60.00,60.00,188.00,212.00
133.00,158.00,60.00,60.00,163.00,188.00
133.00,146.00,60.00,60.00,163.00,176.00
133.00,121.00,60.00,60.00,163.00,151.00
146.00,109.00,60.00,60.00,176.00,139.00
109.00,109.00,60.00,60.00,139.00,139.00
109.00,109.00,60.00,60.00,139.00,139.00
97.00,109.00,60.00,60.00,127.00,139.00
97.00,109.00,60.00,60.00,127.00,139.00
97.00,109.00,60.00,60.00,127.00,139.00
85.00,109.00,60.00,60.00,115.00,139.00
61.00,97.00,60.00,60.00,91.00,127.00
73.00,85.00,60.00,60.00,103.00,115.00
85.00,85.00,60.00,60.00,115.00,115.00
109.00,85.00,60.00,60.00,139.00,115.00
121.00,85.00,60.00,60.00,151.00,115.00
170.00,109.00,60.00,60.00,200.00,139.00
182.00,121.00,60.00,60.00,212.00,151.00
194.00,121.00,60.00,60.00,224.00,151.00
182.00,109.00,60.00,60.00,212.00,139.00
194.00,109.00,60.00,60.00,224.00,139.00
206.00,121.00,60.00,60.00,236.00,151.00
230.00,97.00,60.00,60.00,260.00,127.00
218.00,85.00,60.00,60.00,248.00,115.00
194.00,85.00,60.00,60.00,224.00,115.00
182.00,85.00,60.00,60.00,212.00,115.00
158.00,85.00,60.00,60.00,188.00,115.00
133.00,194.00,60.00,60.00,163.00,224.00
109.00,194.00,60.00,60.00,139.00,224.00
97.00,194.00,60.00,60.00,127.00,224.00
85.00,206.00,60.00,60.00,115.00,236.00
85.00,206.00,60.00,60.00,115.00,236.00
109.00,206.00,60.00,60.00,139.00,236.00
133.00,206.00,60.00,60.00,163.00,236.00
158.00,194.00,60.00,60.00,188.00,224.00
170.00,206.00,60.00,60.00,200.00,236.00
182.00,206.00,60.00,60.00,212.00,236.00
170.00,206.00,60.00,60.00,200.00,236.00
170.00,206.00,60.00,60.00,200.00,236.00
170.00,230.00,60.00,60.00,200.00,260.00
158.00,218.00,60.00,60.00,188.00,248.00
158.00,230.00,60.00,60.00,188.00,260.00
133.00,218.00,60.00,60.00,163.00,248.00
109.00,230.00,60.00,60.00,139.00,260.00
109.00,206.00,60.00,60.00,139.00,236.00
97.00,206.00,60.00,60.00,127.00,236.00
133.00,230.00,60.00,60.00,163.00,260.00
146.00,291.00,60.00,60.00,176.00,321.00
109.00,279.00,60.00,60.00,139.00,309.00
85.00,255.00,60.00,60.00,115.00,285.00
61.00,230.00,60.00,60.00,91.00,260.00
49.00,206.00,60.00,60.00,79.00,236.00
36.00,170.00,60.00,60.00,66.00,200.00
36.00,146.00,60.00,60.00,66.00,176.00
36.00,109.00,60.00,60.00,66.00,139.00
36.00,85.00,60.00,60.00,66.00,115.00
170.00,279.00,60.00,60.00,200.00,309.00
194.00,267.00,60.00,60.00,224.00,297.00
218.00,243.00,60.00,60.00,248.00,273.00
230.00,206.00,60.00,60.00,260.00,236.00
243.00,182.00,60.00,60.00,273.00,212.00
243.00,158.00,60.00,60.00,273.00,188.00
255.00,121.00,60.00,60.00,285.00,151.00
255.00,97.00,60.00,60.00,285.00,127.00
