127,0
x,y,dx,dy,x_c,y_c
125.00,139.00,34.00,34.00,142.00,156.00
118.00,139.00,34.00,34.00,135.00,156.00
111.00,139.00,34.00,34.00,128.00,156.00
132.00,139.00,34.00,34.00,149.00,156.00
139.00,139.00,34.00,34.00,156.00,156.00
125.00,125.00,34.00,34.00,142.00,142.00
125.00,118.00,34.00,34.00,142.00,135.00
125.00,104.00,34.00,34.00,142.00,121.00
125.00,98.00,34.00,34.00,142.00,115.00
104.00,98.00,34.00,34.00,121.00,115.00
98.00,98.00,34.00,34.00,115.00,115.00
98.00,104.00,34.00,34.00,115.00,121.00
98.00,98.00,34.00,34.00,115.00,115.00
91.00,98.00,34.00,34.00,108.00,115.00
84.00,104.00,34.00,34.00,101.00,121.00
63.00,98.00,34.00,34.00,80.00,115.00
70.00,91.00,34.00,34.00,87.00,108.00
77.00,84.00,34.00,34.00,94.00,101.00
91.00,84.00,34.00,34.00,108.00,101.00
104.00,84.00,34.00,34.00,121.00,101.00
139.00,98.00,34.00,34.00,156.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
146.00,91.00,34.00,34.00,163.00,108.00
153.00,91.00,34.00,34.00,170.00,108.00
160.00,91.00,34.00,34.00,177.00,108.00
174.00,84.00,34.00,34.00,191.00,101.00
167.00,77.00,34.00,34.00,184.00,94.00
153.00,70.00,34.00,34.00,170.00,87.00
146.00,70.00,34.00,34.00,163.00,87.00
132.00,77.00,34.00,34.00,149.00,94.00
125.00,146.00,34.00,34.00,142.00,163.00
118.00,146.00,34.00,34.00,135.00,163.00
111.00,153.00,34.00,34.00,128.00,170.00
104.00,167.00,34.00,34.00,121.00,184.00
111.00,160.00,34.00,34.00,128.00,177.00
118.00,153.00,34.00,34.00,135.00,170.00
125.00,153.00,34.00,34.00,142.00,170.00
139.00,139.00,34.00,34.00,156.00,156.00
153.00,146.00,34.00,34.00,170.00,163.00
160.00,146.00,34.00,34.00,177.00,163.00
153.00,153.00,34.00,34.00,170.00,170.00
146.00,146.00,34.00,34.00,163.00,163.00
153.00,160.00,34.00,34.00,170.00,177.00
139.00,153.00,34.00,34.00,156.00,170.00
139.00,167.00,34.00,34.00,156.00,184.00
125.00,160.00,34.00,34.00,142.00,177.00
111.00,167.00,34.00,34.00,128.00,184.00
111.00,153.00,34.00,34.00,128.00,170.00
104.00,160.00,34.00,34.00,121.00,177.00
125.00,167.00,34.00,34.00,142.00,184.00
132.00,202.00,34.00,34.00,149.00,219.00
111.00,202.00,34.00,34.00,128.00,219.00
98.00,195.00,34.00,34.00,115.00,212.00
84.00,181.00,34.00,34.00,101.00,198.00
70.00,174.00,34.00,34.00,87.00,191.00
63.00,160.00,34.00,34.00,80.00,177.00
56.00,146.00,34.00,34.00,73.00,163.00
49.00,125.00,34.00,34.00,66.00,142.00
49.00,104.00,34.00,34.00,66.00,121.00
146.00,202.00,34.00,34.00,163.00,219.00
160.00,195.00,34.00,34.00,177.00,212.00
174.00,181.00,34.00,34.00,191.00,198.00
181.00,160.00,34.00,34.00,198.00,177.00
188.00,146.00,34.00,34.00,205.00,163.00
195.00,132.00,34.00,34.00,212.00,149.00
202.00,111.00,34.00,34.00,219.00,128.00
202.00,98.00,34.00,34.00,219.00,115.00
