216,0
x,y,dx,dy,x_c,y_c
243.48,304.62,75.34,75.34,281.14,342.28
228.19,304.62,75.34,75.34,265.86,342.28
212.90,289.33,75.34,75.34,250.57,327.00
258.76,289.33,75.34,75.34,296.43,327.00
274.05,289.33,75.34,75.34,311.71,327.00
243.48,274.05,75.34,75.34,281.14,311.71
243.48,258.76,75.34,75.34,281.14,296.43
243.48,228.19,75.34,75.34,281.14,265.86
243.48,212.90,75.34,75.34,281.14,250.57
197.62,212.90,75.34,75.34,235.29,250.57
197.62,212.90,75.34,75.34,235.29,250.57
182.33,212.90,75.34,75.34,220.00,250.57
182.33,197.62,75.34,75.34,220.00,235.29
182.33,197.62,75.34,75.34,220.00,235.29
167.05,212.90,75.34,75.34,204.72,250.57
136.48,197.62,75.34,75.34,174.14,235.29
151.76,167.05,75.34,75.34,189.43,204.72
167.05,151.76,75.34,75.34,204.72,189.43
197.62,167.05,75.34,75.34,235.29,204.72
228.19,182.33,75.34,75.34,265.86,220.00
289.33,212.90,75.34,75.34,327.00,250.57
304.62,212.90,75.34,75.34,342.28,250.57
319.90,212.90,75.34,75.34,357.57,250.57
304.62,197.62,75.34,75.34,342.28,235.29
319.90,197.62,75.34,75.34,357.57,235.29
334.10,212.90,75.34,75.34,371.76,250.57
379.95,182.33,75.34,75.34,417.62,220.00
364.67,182.33,75.34,75.34,402.33,220.00
334.10,167.05,75.34,75.34,371.76,204.72
304.62,167.05,75.34,75.34,342.28,204.72
274.05,167.05,75.34,75.34,311.71,204.72
243.48,319.90,75.34,75.34,281.14,357.57
212.90,319.90,75.34,75.34,250.57,357.57
197.62,319.90,75.34,75.34,235.29,357.57
182.33,334.10,75.34,75.34,220.00,371.76
197.62,334.10,75.34,75.34,235.29,371.76
212.90,319.90,75.34,75.34,250.57,357.57
243.48,334.10,75.34,75.34,281.14,371.76
274.05,304.62,75.34,75.34,311.71,342.28
304.62,319.90,75.34,75.34,342.28,357.57
319.90,319.90,75.34,75.34,357.57,357.57
319.90,319.90,75.34,75.34,357.57,357.57
274.05,319.90,75.34,75.34,311.71,357.57
304.62,349.38,75.34,75.34,342.28,387.05
274.05,349.38,75.34,75.34,311.71,387.05
274.05,379.95,75.34,75.34,311.71,417.62
243.48,364.67,75.34,75.34,281.14,402.33
212.90,379.95,75.34,75.34,250.57,417.62
212.90,349.38,75.34,75.34,250.57,387.05
197.62,349.38,75.34,75.34,235.29,387.05
243.48,379.95,75.34,75.34,281.14,417.62
243.48,456.38,75.34,75.34,281.14,494.05
212.90,441.09,75.34,75.34,250.57,478.76
182.33,425.81,75.34,75.34,220.00,463.48
151.76,395.24,75.34,75.34,189.43,432.91
136.48,379.95,75.34,75.34,174.14,417.62
121.19,349.38,75.34,75.34,158.86,387.05
121.19,319.90,75.34,75.34,158.86,357.57
107.00,274.05,75.34,75.34,144.67,311.71
107.00,243.48,75.34,75.34,144.67,281.14
289.33,441.09,75.34,75.34,327.00,478.76
319.90,410.52,75.34,75.34,357.57,448.19
349.38,379.95,75.34,75.34,387.05,417.62
379.95,334.10,75.34,75.34,417.62,371.76
395.24,304.62,75.34,75.34,432.91,342.28
410.52,274.05,75.34,75.34,448.19,311.71
425.81,228.19,75.34,75.34,463.48,265.86
425.81,197.62,75.34,75.34,463.48,235.29
