107,0
x,y,dx,dy,x_c,y_c
181.00,223.00,69.00,69.00,215.50,257.50
181.00,223.00,69.00,69.00,215.50,257.50
167.00,223.00,69.00,69.00,201.50,257.50
195.00,223.00,69.00,69.00,229.50,257.50
209.00,223.00,69.00,69.00,243.50,257.50
181.00,195.00,69.00,69.00,215.50,229.50
181.00,181.00,69.00,69.00,215.50,215.50
181.00,153.00,69.00,69.00,215.50,187.50
181.00,139.00,69.00,69.00,215.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
125.00,153.00,69.00,69.00,159.50,187.50
125.00,139.00,69.00,69.00,159.50,173.50
125.00,139.00,69.00,69.00,159.50,173.50
111.00,139.00,69.00,69.00,145.50,173.50
84.00,111.00,69.00,69.00,118.50,145.50
98.00,111.00,69.00,69.00,132.50,145.50
111.00,98.00,69.00,69.00,145.50,132.50
139.00,111.00,69.00,69.00,173.50,145.50
153.00,111.00,69.00,69.00,187.50,145.50
209.00,153.00,69.00,69.00,243.50,187.50
223.00,153.00,69.00,69.00,257.50,187.50
223.00,153.00,69.00,69.00,257.50,187.50
223.00,139.00,69.00,69.00,257.50,173.50
237.00,139.00,69.00,69.00,271.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
279.00,111.00,69.00,69.00,313.50,145.50
265.00,111.00,69.00,69.00,299.50,145.50
237.00,111.00,69.00,69.00,271.50,145.50
223.00,111.00,69.00,69.00,257.50,145.50
195.00,111.00,69.00,69.00,229.50,145.50
181.00,237.00,69.00,69.00,215.50,271.50
167.00,237.00,69.00,69.00,201.50,271.50
139.00,237.00,69.00,69.00,173.50,271.50
125.00,251.00,69.00,69.00,159.50,285.50
139.00,251.00,69.00,69.00,173.50,285.50
153.00,251.00,69.00,69.00,187.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
209.00,223.00,69.00,69.00,243.50,257.50
223.00,237.00,69.00,69.00,257.50,271.50
237.00,237.00,69.00,69.00,271.50,271.50
223.00,251.00,69.00,69.00,257.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
223.00,265.00,69.00,69.00,257.50,299.50
209.00,251.00,69.00,69.00,243.50,285.50
209.00,279.00,69.00,69.00,243.50,313.50
181.00,265.00,69.00,69.00,215.50,299.50
139.00,279.00,69.00,69.00,173.50,313.50
139.00,251.00,69.00,69.00,173.50,285.50
125.00,251.00,69.00,69.00,159.50,285.50
181.00,279.00,69.00,69.00,215.50,313.50
181.00,348.00,69.00,69.00,215.50,382.50
153.00,334.00,69.00,69.00,187.50,368.50
125.00,306.00,69.00,69.00,159.50,340.50
98.00,279.00,69.00,69.00,132.50,313.50
84.00,265.00,69.00,69.00,118.50,299.50
70.00,237.00,69.00,69.00,104.50,271.50
70.00,209.00,69.00,69.00,104.50,243.50
70.00,167.00,69.00,69.00,104.50,201.50
70.00,139.00,69.00,69.00,104.50,173.50
209.00,334.00,69.00,69.00,243.50,368.50
237.00,306.00,69.00,69.00,271.50,340.50
265.00,279.00,69.00,69.00,299.50,313.50
279.00,237.00,69.00,69.00,313.50,271.50
293.00,209.00,69.00,69.00,327.50,243.50
306.00,181.00,69.00,69.00,340.50,215.50
306.00,139.00,69.00,69.00,340.50,173.50
306.00,98.00,69.00,69.00,340.50,132.50
