111,0
x,y,dx,dy,x_c,y_c
170.00,206.00,60.00,60.00,200.00,236.00
158.00,206.00,60.00,60.00,188.00,236.00
146.00,206.00,60.00,60.00,176.00,236.00
182.00,206.00,60.00,60.00,212.00,236.00
194.00,206.00,60.00,60.00,224.00,236.00
170.00,182.00,60.00,60.00,200.00,212.00
170.00,170.00,60.00,60.00,200.00,200.00
170.00,146.00,60.00,60.00,200.00,176.00
170.00,133.00,60.00,60.00,200.00,163.00
133.00,133.00,60.00,60.00,163.00,163.00
133.00,133.00,60.00,60.00,163.00,163.00
121.00,146.00,60.00,60.00,151.00,176.00
121.00,133.00,60.00,60.00,151.00,163.00
121.00,133.00,60.00,60.00,151.00,163.00
109.00,146.00,60.00,60.00,139.00,176.00
85.00,121.00,60.00,60.00,115.00,151.00
97.00,109.00,60.00,60.00,127.00,139.00
109.00,97.00,60.00,60.00,139.00,127.00
133.00,97.00,60.00,60.00,163.00,127.00
158.00,109.00,60.00,60.00,188.00,139.00
206.00,133.00,60.00,60.00,236.00,163.00
218.00,133.00,60.00,60.00,248.00,163.00
218.00,133.00,60.00,60.00,248.00,163.00
206.00,133.00,60.00,60.00,236.00,163.00
218.00,133.00,60.00,60.00,248.00,163.00
230.00,133.00,60.00,60.00,260.00,163.00
255.00,109.00,60.00,60.00,285.00,139.00
243.00,97.00,60.00,60.00,273.00,127.00
218.00,97.00,60.00,60.00,248.00,127.00
206.00,97.00,60.00,60.00,236.00,127.00
182.00,97.00,60.00,60.00,212.00,127.00
170.00,218.00,60.00,60.00,200.00,248.00
158.00,218.00,60.00,60.00,188.00,248.00
146.00,230.00,60.00,60.00,176.00,260.00
133.00,255.00,60.00,60.00,163.00,285.00
146.00,243.00,60.00,60.00,176.00,273.00
158.00,230.00,60.00,60.00,188.00,260.00
170.00,230.00,60.00,60.00,200.00,260.00
194.00,218.00,60.00,60.00,224.00,248.00
218.00,230.00,60.00,60.00,248.00,260.00
230.00,243.00,60.00,60.00,260.00,273.00
218.00,243.00,60.00,60.00,248.00,273.00
194.00,230.00,60.00,60.00,224.00,260.00
218.00,255.00,60.00,60.00,248.00,285.00
206.00,230.00,60.00,60.00,236.00,260.00
206.00,255.00,60.00,60.00,236.00,285.00
182.00,243.00,60.00,60.00,212.00,273.00
158.00,255.00,60.00,60.00,188.00,285.00
158.00,230.00,60.00,60.00,188.00,260.00
146.00,243.00,60.00,60.00,176.00,273.00
182.00,255.00,60.00,60.00,212.00,285.00
206.00,315.00,60.00,60.00,236.00,345.00
158.00,315.00,60.00,60.00,188.00,345.00
133.00,303.00,60.00,60.00,163.00,333.00
97.00,291.00,60.00,60.00,127.00,321.00
73.00,279.00,60.00,60.00,103.00,309.00
61.00,243.00,60.00,60.00,91.00,273.00
49.00,206.00,60.00,60.00,79.00,236.00
49.00,170.00,60.00,60.00,79.00,200.00
49.00,133.00,60.00,60.00,79.00,163.00
230.00,315.00,60.00,60.00,260.00,345.00
267.00,315.00,60.00,60.00,297.00,345.00
291.00,303.00,60.00,60.00,321.00,333.00
303.00,279.00,60.00,60.00,333.00,309.00
303.00,267.00,60.00,60.00,333.00,297.00
303.00,243.00,60.00,60.00,333.00,273.00
315.00,206.00,60.00,60.00,345.00,236.00
315.00,182.00,60.00,60.00,345.00,212.00
