44,0
x,y,dx,dy,x_c,y_c
153.00,209.00,69.00,69.00,187.50,243.50
139.00,209.00,69.00,69.00,173.50,243.50
125.00,195.00,69.00,69.00,159.50,229.50
167.00,195.00,69.00,69.00,201.50,229.50
181.00,195.00,69.00,69.00,215.50,229.50
153.00,181.00,69.00,69.00,187.50,215.50
153.00,167.00,69.00,69.00,187.50,201.50
153.00,139.00,69.00,69.00,187.50,173.50
153.00,125.00,69.00,69.00,187.50,159.50
111.00,139.00,69.00,69.00,145.50,173.50
98.00,139.00,69.00,69.00,132.50,173.50
84.00,139.00,69.00,69.00,118.50,173.50
98.00,125.00,69.00,69.00,132.50,159.50
84.00,125.00,69.00,69.00,118.50,159.50
70.00,125.00,69.00,69.00,104.50,159.50
42.00,98.00,69.00,69.00,76.50,132.50
56.00,84.00,69.00,69.00,90.50,118.50
84.00,70.00,69.00,69.00,118.50,104.50
111.00,84.00,69.00,69.00,145.50,118.50
139.00,98.00,69.00,69.00,173.50,132.50
195.00,139.00,69.00,69.00,229.50,173.50
209.00,139.00,69.00,69.00,243.50,173.50
209.00,139.00,69.00,69.00,243.50,173.50
209.00,125.00,69.00,69.00,243.50,159.50
209.00,125.00,69.00,69.00,243.50,159.50
223.00,139.00,69.00,69.00,257.50,173.50
251.00,111.00,69.00,69.00,285.50,145.50
237.00,98.00,69.00,69.00,271.50,132.50
209.00,98.00,69.00,69.00,243.50,132.50
195.00,98.00,69.00,69.00,229.50,132.50
167.00,98.00,69.00,69.00,201.50,132.50
153.00,223.00,69.00,69.00,187.50,257.50
125.00,223.00,69.00,69.00,159.50,257.50
111.00,237.00,69.00,69.00,145.50,271.50
98.00,251.00,69.00,69.00,132.50,285.50
111.00,251.00,69.00,69.00,145.50,285.50
125.00,237.00,69.00,69.00,159.50,271.50
153.00,237.00,69.00,69.00,187.50,271.50
181.00,209.00,69.00,69.00,215.50,243.50
195.00,223.00,69.00,69.00,229.50,257.50
209.00,223.00,69.00,69.00,243.50,257.50
195.00,223.00,69.00,69.00,229.50,257.50
195.00,223.00,69.00,69.00,229.50,257.50
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
181.00,279.00,69.00,69.00,215.50,313.50
153.00,265.00,69.00,69.00,187.50,299.50
125.00,279.00,69.00,69.00,159.50,313.50
125.00,251.00,69.00,69.00,159.50,285.50
111.00,251.00,69.00,69.00,145.50,285.50
153.00,279.00,69.00,69.00,187.50,313.50
153.00,334.00,69.00,69.00,187.50,368.50
111.00,334.00,69.00,69.00,145.50,368.50
84.00,306.00,69.00,69.00,118.50,340.50
56.00,279.00,69.00,69.00,90.50,313.50
28.00,265.00,69.00,69.00,62.50,299.50
14.00,237.00,69.00,69.00,48.50,271.50
14.00,209.00,69.00,69.00,48.50,243.50
14.00,167.00,69.00,69.00,48.50,201.50
14.00,125.00,69.00,69.00,48.50,159.50
181.00,320.00,69.00,69.00,215.50,354.50
209.00,306.00,69.00,69.00,243.50,340.50
251.00,279.00,69.00,69.00,285.50,313.50
265.00,223.00,69.00,69.00,299.50,257.50
279.00,195.00,69.00,69.00,313.50,229.50
293.00,167.00,69.00,69.00,327.50,201.50
293.00,125.00,69.00,69.00,327.50,159.50
293.00,98.00,69.00,69.00,327.50,132.50
