107,0
x,y,dx,dy,x_c,y_c
206.00,218.00,60.00,60.00,236.00,248.00
194.00,218.00,60.00,60.00,224.00,248.00
182.00,206.00,60.00,60.00,212.00,236.00
218.00,230.00,60.00,60.00,248.00,260.00
230.00,230.00,60.00,60.00,260.00,260.00
206.00,194.00,60.00,60.00,236.00,224.00
206.00,182.00,60.00,60.00,236.00,212.00
206.00,158.00,60.00,60.00,236.00,188.00
206.00,146.00,60.00,60.00,236.00,176.00
170.00,146.00,60.00,60.00,200.00,176.00
170.00,146.00,60.00,60.00,200.00,176.00
158.00,146.00,60.00,60.00,188.00,176.00
158.00,146.00,60.00,60.00,188.00,176.00
158.00,146.00,60.00,60.00,188.00,176.00
146.00,146.00,60.00,60.00,176.00,176.00
121.00,133.00,60.00,60.00,151.00,163.00
133.00,121.00,60.00,60.00,163.00,151.00
146.00,109.00,60.00,60.00,176.00,139.00
170.00,109.00,60.00,60.00,200.00,139.00
194.00,121.00,60.00,60.00,224.00,151.00
243.00,146.00,60.00,60.00,273.00,176.00
255.00,146.00,60.00,60.00,285.00,176.00
267.00,146.00,60.00,60.00,297.00,176.00
255.00,146.00,60.00,60.00,285.00,176.00
255.00,146.00,60.00,60.00,285.00,176.00
267.00,146.00,60.00,60.00,297.00,176.00
291.00,121.00,60.00,60.00,321.00,151.00
279.00,121.00,60.00,60.00,309.00,151.00
255.00,121.00,60.00,60.00,285.00,151.00
243.00,121.00,60.00,60.00,273.00,151.00
218.00,121.00,60.00,60.00,248.00,151.00
206.00,230.00,60.00,60.00,236.00,260.00
182.00,230.00,60.00,60.00,212.00,260.00
170.00,243.00,60.00,60.00,200.00,273.00
158.00,255.00,60.00,60.00,188.00,285.00
170.00,255.00,60.00,60.00,200.00,285.00
182.00,243.00,60.00,60.00,212.00,273.00
194.00,243.00,60.00,60.00,224.00,273.00
230.00,218.00,60.00,60.00,260.00,248.00
243.00,230.00,60.00,60.00,273.00,260.00
243.00,243.00,60.00,60.00,273.00,273.00
243.00,243.00,60.00,60.00,273.00,273.00
230.00,243.00,60.00,60.00,260.00,273.00
230.00,255.00,60.00,60.00,260.00,285.00
218.00,243.00,60.00,60.00,248.00,273.00
218.00,267.00,60.00,60.00,248.00,297.00
194.00,255.00,60.00,60.00,224.00,285.00
182.00,267.00,60.00,60.00,212.00,297.00
182.00,243.00,60.00,60.00,212.00,273.00
170.00,255.00,60.00,60.00,200.00,285.00
194.00,267.00,60.00,60.00,224.00,297.00
206.00,340.00,60.00,60.00,236.00,370.00
170.00,327.00,60.00,60.00,200.00,357.00
146.00,315.00,60.00,60.00,176.00,345.00
121.00,291.00,60.00,60.00,151.00,321.00
97.00,267.00,60.00,60.00,127.00,297.00
85.00,243.00,60.00,60.00,115.00,273.00
73.00,218.00,60.00,60.00,103.00,248.00
61.00,182.00,60.00,60.00,91.00,212.00
61.00,146.00,60.00,60.00,91.00,176.00
230.00,340.00,60.00,60.00,260.00,370.00
255.00,327.00,60.00,60.00,285.00,357.00
279.00,315.00,60.00,60.00,309.00,345.00
291.00,279.00,60.00,60.00,321.00,309.00
291.00,255.00,60.00,60.00,321.00,285.00
303.00,230.00,60.00,60.00,333.00,260.00
303.00,194.00,60.00,60.00,333.00,224.00
303.00,170.00,60.00,60.00,333.00,200.00
