82,0
x,y,dx,dy,x_c,y_c
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
167.00,251.00,69.00,69.00,201.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
223.00,251.00,69.00,69.00,257.50,285.50
195.00,223.00,69.00,69.00,229.50,257.50
195.00,209.00,69.00,69.00,229.50,243.50
195.00,181.00,69.00,69.00,229.50,215.50
195.00,167.00,69.00,69.00,229.50,201.50
153.00,167.00,69.00,69.00,187.50,201.50
153.00,167.00,69.00,69.00,187.50,201.50
139.00,167.00,69.00,69.00,173.50,201.50
139.00,153.00,69.00,69.00,173.50,187.50
139.00,153.00,69.00,69.00,173.50,187.50
125.00,167.00,69.00,69.00,159.50,201.50
98.00,139.00,69.00,69.00,132.50,173.50
111.00,125.00,69.00,69.00,145.50,159.50
139.00,111.00,69.00,69.00,173.50,145.50
153.00,125.00,69.00,69.00,187.50,159.50
167.00,125.00,69.00,69.00,201.50,159.50
223.00,167.00,69.00,69.00,257.50,201.50
237.00,167.00,69.00,69.00,271.50,201.50
251.00,167.00,69.00,69.00,285.50,201.50
237.00,153.00,69.00,69.00,271.50,187.50
251.00,153.00,69.00,69.00,285.50,187.50
251.00,167.00,69.00,69.00,285.50,201.50
293.00,153.00,69.00,69.00,327.50,187.50
293.00,139.00,69.00,69.00,327.50,173.50
265.00,125.00,69.00,69.00,299.50,159.50
237.00,125.00,69.00,69.00,271.50,159.50
209.00,125.00,69.00,69.00,243.50,159.50
195.00,265.00,69.00,69.00,229.50,299.50
167.00,265.00,69.00,69.00,201.50,299.50
153.00,279.00,69.00,69.00,187.50,313.50
139.00,293.00,69.00,69.00,173.50,327.50
153.00,293.00,69.00,69.00,187.50,327.50
167.00,279.00,69.00,69.00,201.50,313.50
195.00,279.00,69.00,69.00,229.50,313.50
223.00,265.00,69.00,69.00,257.50,299.50
237.00,279.00,69.00,69.00,271.50,313.50
251.00,279.00,69.00,69.00,285.50,313.50
237.00,279.00,69.00,69.00,271.50,313.50
223.00,279.00,69.00,69.00,257.50,313.50
237.00,306.00,69.00,69.00,271.50,340.50
223.00,306.00,69.00,69.00,257.50,340.50
223.00,334.00,69.00,69.00,257.50,368.50
195.00,320.00,69.00,69.00,229.50,354.50
167.00,334.00,69.00,69.00,201.50,368.50
167.00,306.00,69.00,69.00,201.50,340.50
153.00,306.00,69.00,69.00,187.50,340.50
195.00,334.00,69.00,69.00,229.50,368.50
195.00,390.00,69.00,69.00,229.50,424.50
153.00,376.00,69.00,69.00,187.50,410.50
125.00,362.00,69.00,69.00,159.50,396.50
98.00,334.00,69.00,69.00,132.50,368.50
84.00,306.00,69.00,69.00,118.50,340.50
70.00,279.00,69.00,69.00,104.50,313.50
70.00,251.00,69.00,69.00,104.50,285.50
70.00,209.00,69.00,69.00,104.50,243.50
70.00,167.00,69.00,69.00,104.50,201.50
223.00,376.00,69.00,69.00,257.50,410.50
251.00,348.00,69.00,69.00,285.50,382.50
265.00,320.00,69.00,69.00,299.50,354.50
279.00,265.00,69.00,69.00,313.50,299.50
293.00,237.00,69.00,69.00,327.50,271.50
306.00,209.00,69.00,69.00,340.50,243.50
320.00,167.00,69.00,69.00,354.50,201.50
320.00,125.00,69.00,69.00,354.50,159.50
