73,0
x,y,dx,dy,x_c,y_c
258.55,304.36,75.27,75.27,296.18,342.00
243.27,304.36,75.27,75.27,280.91,342.00
228.00,289.09,75.27,75.27,265.64,326.73
273.82,304.36,75.27,75.27,311.45,342.00
289.09,304.36,75.27,75.27,326.73,342.00
258.55,273.82,75.27,75.27,296.18,311.45
258.55,258.55,75.27,75.27,296.18,296.18
258.55,228.00,75.27,75.27,296.18,265.64
258.55,212.73,75.27,75.27,296.18,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
197.45,212.73,75.27,75.27,235.09,250.36
197.45,197.45,75.27,75.27,235.09,235.09
197.45,197.45,75.27,75.27,235.09,235.09
182.18,212.73,75.27,75.27,219.82,250.36
136.36,182.18,75.27,75.27,174.00,219.82
151.64,166.91,75.27,75.27,189.27,204.55
166.91,151.64,75.27,75.27,204.55,189.27
182.18,151.64,75.27,75.27,219.82,189.27
212.73,166.91,75.27,75.27,250.36,204.55
304.36,212.73,75.27,75.27,342.00,250.36
319.64,212.73,75.27,75.27,357.27,250.36
333.82,212.73,75.27,75.27,371.45,250.36
319.64,212.73,75.27,75.27,357.27,250.36
333.82,212.73,75.27,75.27,371.45,250.36
349.09,212.73,75.27,75.27,386.73,250.36
394.91,182.18,75.27,75.27,432.55,219.82
379.64,166.91,75.27,75.27,417.27,204.55
349.09,166.91,75.27,75.27,386.73,204.55
319.64,166.91,75.27,75.27,357.27,204.55
289.09,166.91,75.27,75.27,326.73,204.55
258.55,319.64,75.27,75.27,296.18,357.27
228.00,319.64,75.27,75.27,265.64,357.27
212.73,319.64,75.27,75.27,250.36,357.27
197.45,333.82,75.27,75.27,235.09,371.45
197.45,333.82,75.27,75.27,235.09,371.45
228.00,319.64,75.27,75.27,265.64,357.27
258.55,333.82,75.27,75.27,296.18,371.45
289.09,304.36,75.27,75.27,326.73,342.00
319.64,319.64,75.27,75.27,357.27,357.27
333.82,333.82,75.27,75.27,371.45,371.45
319.64,333.82,75.27,75.27,357.27,371.45
304.36,319.64,75.27,75.27,342.00,357.27
333.82,349.09,75.27,75.27,371.45,386.73
319.64,333.82,75.27,75.27,357.27,371.45
319.64,364.36,75.27,75.27,357.27,402.00
289.09,349.09,75.27,75.27,326.73,386.73
243.27,364.36,75.27,75.27,280.91,402.00
228.00,333.82,75.27,75.27,265.64,371.45
212.73,349.09,75.27,75.27,250.36,386.73
289.09,364.36,75.27,75.27,326.73,402.00
289.09,440.73,75.27,75.27,326.73,478.36
243.27,440.73,75.27,75.27,280.91,478.36
212.73,410.18,75.27,75.27,250.36,447.82
182.18,379.64,75.27,75.27,219.82,417.27
151.64,333.82,75.27,75.27,189.27,371.45
136.36,289.09,75.27,75.27,174.00,326.73
136.36,258.55,75.27,75.27,174.00,296.18
121.09,212.73,75.27,75.27,158.73,250.36
121.09,166.91,75.27,75.27,158.73,204.55
319.64,425.45,75.27,75.27,357.27,463.09
349.09,394.91,75.27,75.27,386.73,432.55
379.64,364.36,75.27,75.27,417.27,402.00
394.91,319.64,75.27,75.27,432.55,357.27
410.18,289.09,75.27,75.27,447.82,326.73
425.45,258.55,75.27,75.27,463.09,296.18
440.73,212.73,75.27,75.27,478.36,250.36
440.73,182.18,75.27,75.27,478.36,219.82
