114,0
x,y,dx,dy,x_c,y_c
74.00,87.00,22.00,22.00,85.00,98.00
69.00,87.00,22.00,22.00,80.00,98.00
69.00,83.00,22.00,22.00,80.00,94.00
78.00,87.00,22.00,22.00,89.00,98.00
83.00,87.00,22.00,22.00,94.00,98.00
74.00,78.00,22.00,22.00,85.00,89.00
74.00,69.00,22.00,22.00,85.00,80.00
74.00,60.00,22.00,22.00,85.00,71.00
78.00,55.00,22.00,22.00,89.00,66.00
64.00,55.00,22.00,22.00,75.00,66.00
64.00,55.00,22.00,22.00,75.00,66.00
60.00,55.00,22.00,22.00,71.00,66.00
60.00,51.00,22.00,22.00,71.00,62.00
60.00,51.00,22.00,22.00,71.00,62.00
55.00,51.00,22.00,22.00,66.00,62.00
46.00,41.00,22.00,22.00,57.00,52.00
51.00,37.00,22.00,22.00,62.00,48.00
55.00,37.00,22.00,22.00,66.00,48.00
64.00,41.00,22.00,22.00,75.00,52.00
69.00,46.00,22.00,22.00,80.00,57.00
92.00,60.00,22.00,22.00,103.00,71.00
96.00,64.00,22.00,22.00,107.00,75.00
101.00,64.00,22.00,22.00,112.00,75.00
96.00,60.00,22.00,22.00,107.00,71.00
101.00,60.00,22.00,22.00,112.00,71.00
106.00,64.00,22.00,22.00,117.00,75.00
115.00,55.00,22.00,22.00,126.00,66.00
110.00,51.00,22.00,22.00,121.00,62.00
101.00,46.00,22.00,22.00,112.00,57.00
96.00,46.00,22.00,22.00,107.00,57.00
87.00,46.00,22.00,22.00,98.00,57.00
74.00,92.00,22.00,22.00,85.00,103.00
69.00,92.00,22.00,22.00,80.00,103.00
60.00,92.00,22.00,22.00,71.00,103.00
55.00,96.00,22.00,22.00,66.00,107.00
55.00,96.00,22.00,22.00,66.00,107.00
69.00,96.00,22.00,22.00,80.00,107.00
74.00,96.00,22.00,22.00,85.00,107.00
83.00,92.00,22.00,22.00,94.00,103.00
87.00,96.00,22.00,22.00,98.00,107.00
87.00,96.00,22.00,22.00,98.00,107.00
87.00,96.00,22.00,22.00,98.00,107.00
87.00,96.00,22.00,22.00,98.00,107.00
87.00,101.00,22.00,22.00,98.00,112.00
83.00,96.00,22.00,22.00,94.00,107.00
83.00,106.00,22.00,22.00,94.00,117.00
74.00,101.00,22.00,22.00,85.00,112.00
69.00,106.00,22.00,22.00,80.00,117.00
64.00,96.00,22.00,22.00,75.00,107.00
60.00,101.00,22.00,22.00,71.00,112.00
74.00,106.00,22.00,22.00,85.00,117.00
78.00,129.00,22.00,22.00,89.00,140.00
69.00,124.00,22.00,22.00,80.00,135.00
60.00,119.00,22.00,22.00,71.00,130.00
51.00,110.00,22.00,22.00,62.00,121.00
41.00,101.00,22.00,22.00,52.00,112.00
37.00,87.00,22.00,22.00,48.00,98.00
32.00,74.00,22.00,22.00,43.00,85.00
28.00,55.00,22.00,22.00,39.00,66.00
28.00,41.00,22.00,22.00,39.00,52.00
87.00,124.00,22.00,22.00,98.00,135.00
96.00,115.00,22.00,22.00,107.00,126.00
110.00,106.00,22.00,22.00,121.00,117.00
115.00,92.00,22.00,22.00,126.00,103.00
119.00,83.00,22.00,22.00,130.00,94.00
119.00,74.00,22.00,22.00,130.00,85.00
124.00,60.00,22.00,22.00,135.00,71.00
124.00,51.00,22.00,22.00,135.00,62.00
