95,0
x,y,dx,dy,x_c,y_c
111.00,125.00,34.00,34.00,128.00,142.00
104.00,125.00,34.00,34.00,121.00,142.00
98.00,118.00,34.00,34.00,115.00,135.00
118.00,125.00,34.00,34.00,135.00,142.00
125.00,125.00,34.00,34.00,142.00,142.00
111.00,111.00,34.00,34.00,128.00,128.00
111.00,104.00,34.00,34.00,128.00,121.00
111.00,91.00,34.00,34.00,128.00,108.00
111.00,84.00,34.00,34.00,128.00,101.00
98.00,84.00,34.00,34.00,115.00,101.00
91.00,84.00,34.00,34.00,108.00,101.00
91.00,84.00,34.00,34.00,108.00,101.00
91.00,77.00,34.00,34.00,108.00,94.00
91.00,77.00,34.00,34.00,108.00,94.00
84.00,84.00,34.00,34.00,101.00,101.00
70.00,77.00,34.00,34.00,87.00,94.00
77.00,70.00,34.00,34.00,94.00,87.00
84.00,63.00,34.00,34.00,101.00,80.00
98.00,70.00,34.00,34.00,115.00,87.00
104.00,77.00,34.00,34.00,121.00,94.00
125.00,84.00,34.00,34.00,142.00,101.00
132.00,84.00,34.00,34.00,149.00,101.00
139.00,84.00,34.00,34.00,156.00,101.00
132.00,77.00,34.00,34.00,149.00,94.00
139.00,77.00,34.00,34.00,156.00,94.00
146.00,84.00,34.00,34.00,163.00,101.00
160.00,70.00,34.00,34.00,177.00,87.00
153.00,70.00,34.00,34.00,170.00,87.00
139.00,63.00,34.00,34.00,156.00,80.00
132.00,63.00,34.00,34.00,149.00,80.00
118.00,70.00,34.00,34.00,135.00,87.00
111.00,132.00,34.00,34.00,128.00,149.00
104.00,132.00,34.00,34.00,121.00,149.00
98.00,132.00,34.00,34.00,115.00,149.00
91.00,139.00,34.00,34.00,108.00,156.00
91.00,139.00,34.00,34.00,108.00,156.00
104.00,132.00,34.00,34.00,121.00,149.00
111.00,139.00,34.00,34.00,128.00,156.00
125.00,125.00,34.00,34.00,142.00,142.00
132.00,132.00,34.00,34.00,149.00,149.00
139.00,132.00,34.00,34.00,156.00,149.00
132.00,132.00,34.00,34.00,149.00,149.00
132.00,132.00,34.00,34.00,149.00,149.00
139.00,146.00,34.00,34.00,156.00,163.00
132.00,139.00,34.00,34.00,149.00,156.00
132.00,146.00,34.00,34.00,149.00,163.00
118.00,139.00,34.00,34.00,135.00,156.00
104.00,146.00,34.00,34.00,121.00,163.00
104.00,132.00,34.00,34.00,121.00,149.00
98.00,139.00,34.00,34.00,115.00,156.00
118.00,146.00,34.00,34.00,135.00,163.00
118.00,174.00,34.00,34.00,135.00,191.00
91.00,167.00,34.00,34.00,108.00,184.00
77.00,153.00,34.00,34.00,94.00,170.00
63.00,139.00,34.00,34.00,80.00,156.00
49.00,125.00,34.00,34.00,66.00,142.00
42.00,104.00,34.00,34.00,59.00,121.00
35.00,84.00,34.00,34.00,52.00,101.00
28.00,56.00,34.00,34.00,45.00,73.00
28.00,35.00,34.00,34.00,45.00,52.00
132.00,174.00,34.00,34.00,149.00,191.00
146.00,167.00,34.00,34.00,163.00,184.00
167.00,160.00,34.00,34.00,184.00,177.00
174.00,139.00,34.00,34.00,191.00,156.00
181.00,125.00,34.00,34.00,198.00,142.00
188.00,111.00,34.00,34.00,205.00,128.00
195.00,91.00,34.00,34.00,212.00,108.00
195.00,70.00,34.00,34.00,212.00,87.00
